"Date","Price","Open","High","Low","Change %"
"Apr 12","1.2739","1.2685","1.2788","1.2514","0.87%"
"Mar 12","1.2629","1.2859","1.3074","1.2612","-1.82%"
"Feb 12","1.2863","1.2851","1.2972","1.2747","0.02%"
"Jan 12","1.2860","1.3132","1.3190","1.2828","-2.03%"
"Dec 11","1.3126","1.3166","1.3284","1.3044","-0.25%"
"Nov 11","1.3159","1.3055","1.3280","1.2916","0.77%"
"Oct 11","1.3058","1.2681","1.3133","1.2509","2.97%"
"Sep 11","1.2681","1.2518","1.2839","1.2356","1.29%"
"Aug 11","1.2520","1.2502","1.2746","1.2311","0.23%"
"Jul 11","1.2491","1.2927","1.3037","1.2479","-3.32%"
"Jun 11","1.2920","1.2946","1.3193","1.2799","-0.17%"
"May 11","1.2942","1.3550","1.3709","1.2918","-4.35%"
"Apr 11","1.3530","1.3564","1.3650","1.3191","-0.16%"
"Mar 11","1.3552","1.3529","1.3802","1.3429","0.17%"
"Feb 11","1.3529","1.2907","1.3568","1.2878","4.75%"
"Jan 11","1.2915","1.3139","1.3222","1.2769","-1.61%"
"Dec 10","1.3127","1.2914","1.3515","1.2814","1.78%"
"Nov 10","1.2897","1.2857","1.3073","1.2620","0.50%"
"Oct 10","1.2833","1.3167","1.3233","1.2797","-2.53%"
"Sep 10","1.3166","1.2738","1.3178","1.2596","3.36%"
"Aug 10","1.2738","1.2469","1.2785","1.2397","2.28%"
"Jul 10","1.2454","1.2269","1.2515","1.2096","1.52%"
"Jun 10","1.2267","1.2434","1.2459","1.2190","-1.34%"
"May 10","1.2434","1.2659","1.2731","1.2127","-2.21%"
"Apr 10","1.2715","1.2894","1.3243","1.2665","-1.50%"
"Mar 10","1.2909","1.2812","1.3128","1.2802","0.64%"
"Feb 10","1.2827","1.2568","1.2934","1.2411","1.67%"
"Jan 10","1.2616","1.2405","1.2770","1.2351","1.96%"
"Dec 09","1.2374","1.2795","1.2849","1.2321","-3.24%"
"Nov 09","1.2789","1.2562","1.2825","1.2421","2.14%"
"Oct 09","1.2521","1.2220","1.2559","1.1929","2.52%"
"Sep 09","1.2213","1.2311","1.2459","1.1984","-0.83%"
"Aug 09","1.2315","1.2650","1.2667","1.2104","-2.44%"
"Jul 09","1.2623","1.2486","1.2703","1.2337","1.08%"
"Jun 09","1.2488","1.2514","1.2843","1.2375","-0.20%"
"May 09","1.2513","1.2860","1.2917","1.2478","-2.52%"
"Apr 09","1.2836","1.2332","1.2948","1.2027","4.01%"
