"Date","Price","Open","High","Low","Change %"
"Dec 05","0.7335","0.7376","0.7582","0.7232","-0.68%"
"Nov 05","0.7385","0.7481","0.7487","0.7260","-1.34%"
"Oct 05","0.7485","0.7624","0.7648","0.7437","-1.67%"
"Sep 05","0.7612","0.7546","0.7765","0.7527","0.82%"
"Aug 05","0.7550","0.7558","0.7756","0.7455","-0.24%"
"Jul 05","0.7568","0.7628","0.7690","0.7364","-0.75%"
"Jun 05","0.7625","0.7558","0.7810","0.7473","0.87%"
"May 05","0.7559","0.7802","0.7828","0.7529","-3.21%"
"Apr 05","0.7810","0.7726","0.7845","0.7625","1.11%"
"Mar 05","0.7724","0.7916","0.7991","0.7667","-2.51%"
"Feb 05","0.7923","0.7751","0.7958","0.7610","2.21%"
"Jan 05","0.7752","0.7804","0.7827","0.7503","-0.89%"
"Dec 04","0.7822","0.7728","0.7844","0.7441","1.31%"
"Nov 04","0.7721","0.7487","0.7946","0.7431","3.13%"
"Oct 04","0.7487","0.7265","0.7512","0.7184","2.93%"
"Sep 04","0.7274","0.7050","0.7288","0.6850","3.24%"
"Aug 04","0.7046","0.7041","0.7263","0.6957","0.28%"
"Jul 04","0.7026","0.6986","0.7348","0.6930","0.59%"
"Jun 04","0.6985","0.7155","0.7173","0.6785","-2.32%"
"May 04","0.7151","0.7225","0.7344","0.6795","-0.79%"
"Apr 04","0.7208","0.7664","0.7694","0.7123","-6.00%"
"Mar 04","0.7668","0.7727","0.7772","0.7251","-0.93%"
"Feb 04","0.7740","0.7631","0.8010","0.7558","1.34%"
"Jan 04","0.7638","0.7510","0.7815","0.7498","1.58%"
"Dec 03","0.7519","0.7237","0.7539","0.7230","3.81%"
"Nov 03","0.7243","0.7071","0.7263","0.6959","2.26%"
"Oct 03","0.7083","0.6800","0.7109","0.6759","4.10%"
"Sep 03","0.6804","0.6467","0.6868","0.6339","5.06%"
"Aug 03","0.6476","0.6482","0.6623","0.6352","-0.12%"
"Jul 03","0.6484","0.6733","0.6846","0.6438","-3.76%"
"Jun 03","0.6737","0.6499","0.6745","0.6479","2.98%"
"May 03","0.6542","0.6261","0.6628","0.6252","4.40%"
"Apr 03","0.6266","0.6045","0.6267","0.5922","3.66%"
"Mar 03","0.6045","0.6074","0.6182","0.5878","-0.71%"
"Feb 03","0.6088","0.5864","0.6092","0.5820","3.63%"
"Jan 03","0.5875","0.5616","0.5942","0.5610","4.69%"
"Dec 02","0.5612","0.5604","0.5691","0.5556","0.11%"
"Nov 02","0.5606","0.5539","0.5679","0.5539","1.01%"
"Oct 02","0.5550","0.5421","0.5595","0.5400","2.30%"
"Sep 02","0.5425","0.5497","0.5537","0.5395","-1.52%"
"Aug 02","0.5509","0.5421","0.5550","0.5228","1.40%"
"Jul 02","0.5433","0.5630","0.5714","0.5342","-3.58%"
"Jun 02","0.5635","0.5677","0.5798","0.5555","-0.69%"
"May 02","0.5674","0.5380","0.5698","0.5339","5.37%"
"Apr 02","0.5385","0.5329","0.5462","0.5253","0.94%"
"Mar 02","0.5335","0.5176","0.5357","0.5164","3.19%"
"Feb 02","0.5170","0.5079","0.5193","0.5050","1.79%"
"Jan 02","0.5079","0.5099","0.5273","0.5050","-0.59%"
"Dec 01","0.5109","0.5218","0.5222","0.5039","-2.09%"
"Nov 01","0.5218","0.5030","0.5253","0.5023","3.70%"
"Oct 01","0.5032","0.4925","0.5171","0.4900","2.44%"
"Sep 01","0.4912","0.5280","0.5287","0.4814","-7.22%"
"Aug 01","0.5294","0.5095","0.5393","0.5076","3.87%"
"Jul 01","0.5097","0.5110","0.5202","0.5009","-0.33%"
"Jun 01","0.5114","0.5065","0.5306","0.5035","1.09%"
"May 01","0.5059","0.5125","0.5322","0.5029","-1.25%"
"Apr 01","0.5123","0.4858","0.5197","0.4773","5.54%"
"Mar 01","0.4854","0.5259","0.5300","0.4845","-7.75%"
"Feb 01","0.5262","0.5507","0.5566","0.5200","-4.54%"
"Jan 01","0.5512","0.5580","0.5727","0.5405","-1.36%"
"Dec 00","0.5588","0.5284","0.5603","0.5275","5.71%"
"Nov 00","0.5286","0.5190","0.5343","0.5073","1.60%"
"Oct 00","0.5203","0.5428","0.5476","0.5108","-4.15%"
"Sep 00","0.5428","0.5764","0.5794","0.5358","-5.93%"
"Aug 00","0.5770","0.5808","0.5948","0.5665","-0.62%"
"Jul 00","0.5806","0.5972","0.6018","0.5745","-2.70%"
"Jun 00","0.5967","0.5725","0.6103","0.5681","4.23%"
"May 00","0.5725","0.5847","0.5977","0.5645","-1.94%"
"Apr 00","0.5838","0.6068","0.6105","0.5815","-3.92%"
"Mar 00","0.6076","0.6175","0.6194","0.6005","-1.83%"
"Feb 00","0.6189","0.6370","0.6428","0.6100","-2.83%"
"Jan 00","0.6369","0.6565","0.6687","0.6225","-3.00%"
"Dec 99","0.6566","0.6348","0.6574","0.6295","3.34%"
"Nov 99","0.6354","0.6397","0.6479","0.6295","-0.50%"
"Oct 99","0.6386","0.6510","0.6664","0.6355","-2.15%"
"Sep 99","0.6526","0.6405","0.6600","0.6359","2.05%"
"Aug 99","0.6395","0.6500","0.6602","0.6282","-1.74%"
"Jul 99","0.6508","0.6664","0.6721","0.6415","-2.62%"
"Jun 99","0.6683","0.6485","0.6685","0.6405","3.01%"
"May 99","0.6488","0.6604","0.6747","0.6460","-1.92%"
"Apr 99","0.6615","0.6330","0.6638","0.6224","4.22%"
"Mar 99","0.6347","0.6191","0.6421","0.6160","2.57%"
"Feb 99","0.6188","0.6316","0.6547","0.6165","-1.86%"
"Jan 99","0.6305","0.6123","0.6462","0.6112","2.94%"
