Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig
Reefton Ews,Nov-08,2,12.9,-,-,D
Reefton Ews,Nov-08,9,181.1,-,-,D
Reefton Ews,Dec-08,0,180.4,-,-,D
Reefton Ews,Dec-08,2,15.9,-,-,D
Reefton Ews,Dec-08,9,189.3,-,-,D
Reefton Ews,Jan-09,0,74,-,-,D
Reefton Ews,Jan-09,2,17.2,-,-,D
Reefton Ews,Jan-09,9,246.2,-,-,D
Reefton Ews,Feb-09,0,92.8,-,-,D
Reefton Ews,Feb-09,2,16.9,-,-,D
Reefton Ews,Feb-09,9,169.3,-,-,D
Reefton Ews,Mar-09,0,80.4,-,-,D
Reefton Ews,Mar-09,2,14.4,-,-,D
Reefton Ews,Mar-09,9,181.8,-,-,D
Reefton Ews,Apr-09,0,231.2,-,-,D
Reefton Ews,Apr-09,2,12.5,*,-,D
Reefton Ews,Apr-09,9,126,-,-,D
Reefton Ews,May-09,0,167.8,-,-,D
Reefton Ews,May-09,2,6.8,-,-,D
Reefton Ews,May-09,9,130.8,-,-,D
Reefton Ews,Jun-09,0,95.4,-,-,D
Reefton Ews,Jun-09,2,4,-,-,D
Reefton Ews,Jun-09,9,63.6,-,-,D
Reefton Ews,Jul-09,0,209.5,*,-,D
Reefton Ews,Jul-09,2,4.9,*,-,D
Reefton Ews,Jul-09,9,80.9,*,-,D
Reefton Ews,Aug-09,0,191.2,-,-,D
Reefton Ews,Aug-09,2,9,-,-,D
Reefton Ews,Aug-09,9,90.6,-,-,D
Reefton Ews,Sep-09,0,87.4,-,-,D
Reefton Ews,Sep-09,2,9.5,-,-,D
Reefton Ews,Sep-09,9,181.7,-,-,D
Reefton Ews,Oct-09,0,136.8,-,-,D
Reefton Ews,Oct-09,2,9.8,-,-,D
Reefton Ews,Oct-09,9,214.5,-,-,D
Reefton Ews,Nov-09,0,68.8,-,-,D
Reefton Ews,Nov-09,2,13.3,-,-,D
Reefton Ews,Nov-09,9,154.8,-,-,D
Reefton Ews,Dec-09,0,225.8,-,-,D
Reefton Ews,Dec-09,2,15.5,-,-,D
Reefton Ews,Dec-09,9,172.9,-,-,D
Reefton Ews,Jan-10,0,160.8,-,-,D
Reefton Ews,Jan-10,2,17.6,-,-,D
Reefton Ews,Jan-10,9,186.1,-,-,D
Reefton Ews,Feb-10,0,81,-,-,D
Reefton Ews,Feb-10,2,18.7,-,-,D
Reefton Ews,Feb-10,9,202.9,-,-,D
Reefton Ews,Mar-10,0,105.2,-,-,D
Reefton Ews,Mar-10,2,15.2,-,-,D
Reefton Ews,Mar-10,9,167.6,-,-,D
Reefton Ews,Apr-10,0,117.2,-,-,D
Reefton Ews,Apr-10,2,13.2,*,-,D
Reefton Ews,Apr-10,9,101.7,-,-,D
Reefton Ews,May-10,0,62.2,-,-,D
Reefton Ews,May-10,2,9.5,-,-,D
Reefton Ews,May-10,9,93.6,-,-,D
Reefton Ews,Jun-10,0,195.4,-,-,D
Reefton Ews,Jun-10,2,6.5,-,-,D
Reefton Ews,Jun-10,9,61.5,-,-,D
Reefton Ews,Jul-10,0,105.2,-,-,D
Reefton Ews,Jul-10,2,5.5,-,-,D
Reefton Ews,Jul-10,9,105.2,-,-,D
Reefton Ews,Aug-10,0,264.4,-,-,D
Reefton Ews,Aug-10,2,8.4,-,-,D
Reefton Ews,Aug-10,9,107.9,-,-,D
Reefton Ews,Sep-10,0,352,-,-,D
Reefton Ews,Sep-10,2,8.6,-,-,D
Reefton Ews,Sep-10,9,81.6,-,-,D
Reefton Ews,Oct-10,0,103.4,-,-,D
Reefton Ews,Oct-10,2,11.6,-,-,D
Reefton Ews,Oct-10,9,218.5,-,-,D
Reefton Ews,Nov-10,0,17.2,*,-,D
Reefton Ews,Nov-10,2,15.5,-,-,D
Reefton Ews,Nov-10,9,243.2,*,-,D
Reefton Ews,Dec-10,0,243.4,-,-,D
Reefton Ews,Dec-10,2,17.5,-,-,D
Reefton Ews,Dec-10,9,176.6,-,-,D
Reefton Ews,Jan-11,0,137.2,-,-,D
Reefton Ews,Jan-11,2,17.9,-,-,D
Reefton Ews,Jan-11,9,215.2,-,-,D
Reefton Ews,Feb-11,0,64.8,*,-,D
Reefton Ews,Feb-11,2,17.8,-,-,D
Reefton Ews,Feb-11,9,170.1,-,-,D
Reefton Ews,Mar-11,0,137.6,-,-,D
Reefton Ews,Mar-11,2,15.2,-,-,D
Reefton Ews,Mar-11,9,216.9,-,-,D
Reefton Ews,Apr-11,0,186.2,-,-,D
Reefton Ews,Apr-11,2,12,-,-,D
Reefton Ews,Apr-11,9,138.3,-,-,D
Reefton Ews,May-11,0,360,-,-,D
Reefton Ews,May-11,2,11.7,-,-,D
Reefton Ews,May-11,9,55.6,-,-,D
Reefton Ews,Jun-11,0,103.2,-,-,D
Reefton Ews,Jun-11,2,8.6,-,-,D
Reefton Ews,Jun-11,9,67.2,-,-,D
Reefton Ews,Jul-11,0,240.4,-,-,D
Reefton Ews,Jul-11,2,5.3,-,-,D
Reefton Ews,Jul-11,9,66.5,-,-,D
Reefton Ews,Aug-11,0,85,-,-,D
Reefton Ews,Aug-11,2,6.7,-,-,D
Reefton Ews,Aug-11,9,118.2,-,-,D
Reefton Ews,Sep-11,0,114.8,-,-,D
Reefton Ews,Sep-11,2,8.8,-,-,D
Reefton Ews,Sep-11,9,126.8,-,-,D
Reefton Ews,Oct-11,0,159.4,-,-,D
Reefton Ews,Oct-11,2,12.3,-,-,D
Reefton Ews,Oct-11,9,148.2,-,-,D
Reefton Ews,Nov-11,0,207.2,-,-,D
Reefton Ews,Nov-11,2,13.1,-,-,D
Reefton Ews,Nov-11,9,154.3,-,-,D
Reefton Ews,Dec-11,0,210.8,-,-,D
Reefton Ews,Dec-11,2,17.6,-,-,D
Reefton Ews,Dec-11,9,207.4,-,-,D
Reefton Ews,Jan-12,0,107.4,-,-,D
Reefton Ews,Jan-12,2,17.3,-,-,D
Reefton Ews,Jan-12,9,215.1,-,-,D
Reefton Ews,Feb-12,0,105.2,-,-,D
Reefton Ews,Feb-12,2,19.8,*,-,D
Reefton Ews,Feb-12,9,137.2,-,-,D
Reefton Ews,Mar-12,0,93.4,-,-,D
Reefton Ews,Mar-12,9,177,-,-,D
Reefton Ews,Apr-12,0,101.4,*,-,D
Reefton Ews,Apr-12,9,159.2,*,-,D
Reefton Ews,May-12,0,102.2,-,-,D
Reefton Ews,May-12,2,9.2,-,-,D
Reefton Ews,May-12,9,100.6,-,-,D
Reefton Ews,Jun-12,0,300,*,-,D
Reefton Ews,Jun-12,2,5.2,*,-,D
Reefton Ews,Jun-12,9,76.2,*,-,D
Reefton Ews,Jul-12,0,115.6,*,-,D
Reefton Ews,Jul-12,2,4.5,-,-,D
Reefton Ews,Jul-12,9,102.9,*,-,D
Reefton Ews,Aug-12,0,102.8,-,-,D
Reefton Ews,Aug-12,2,8.9,-,-,D
Reefton Ews,Aug-12,9,125.7,-,-,D
Reefton Ews,Sep-12,0,246.4,-,-,D
Reefton Ews,Sep-12,2,9.7,-,-,D
Reefton Ews,Sep-12,9,114.2,-,-,D
Reefton Ews,Oct-12,0,288.8,-,-,D
Reefton Ews,Oct-12,2,10.3,-,-,D
Reefton Ews,Oct-12,9,126.8,-,-,D
Reefton Ews,Nov-12,0,51.4,-,-,D
Reefton Ews,Nov-12,2,12.5,-,-,D
Reefton Ews,Nov-12,9,195.7,-,-,D
Reefton Ews,Dec-12,0,128.8,-,-,D
Reefton Ews,Dec-12,2,16.6,-,-,D
Reefton Ews,Dec-12,9,209.3,-,-,D
Reefton Ews,Jan-13,0,203.8,-,-,D
Reefton Ews,Jan-13,2,17.1,-,-,D
Reefton Ews,Jan-13,9,239.6,-,-,D
Reefton Ews,Feb-13,0,37.4,-,-,D
Reefton Ews,Feb-13,2,17.9,-,-,D
Reefton Ews,Feb-13,9,254.8,-,-,D
Reefton Ews,Mar-13,0,63.8,-,-,D
Reefton Ews,Mar-13,2,16.1,-,-,D
Reefton Ews,Mar-13,9,183.3,-,-,D
Reefton Ews,Apr-13,0,129.4,-,-,D
Reefton Ews,Apr-13,2,12.3,-,-,D
Reefton Ews,Apr-13,9,104.7,-,-,D
Reefton Ews,May-13,0,69.4,*,-,D
Reefton Ews,May-13,2,9.5,*,-,D
Reefton Ews,May-13,9,120.5,*,-,D
Reefton Ews,Jun-13,0,176.6,-,-,D
Reefton Ews,Jun-13,2,6.8,-,-,D
Reefton Ews,Jun-13,9,57.8,-,-,D
Reefton Ews,Jul-13,0,117.2,-,-,D
Reefton Ews,Jul-13,2,7.4,-,-,D
Reefton Ews,Jul-13,9,92.5,-,-,D
Reefton Ews,Aug-13,0,121,-,-,D
Reefton Ews,Aug-13,2,9.6,-,-,D
Reefton Ews,Aug-13,9,103.4,-,-,D
Reefton Ews,Sep-13,0,261.6,-,-,D
Reefton Ews,Sep-13,2,10.5,-,-,D
