Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Jul-01,9,167.1,-
Paraparaumu Aero,Aug-01,0,158,-
Paraparaumu Aero,Aug-01,2,10.3,-
Paraparaumu Aero,Aug-01,9,128.9,-
Paraparaumu Aero,Sep-01,0,16.1,-
Paraparaumu Aero,Sep-01,2,11.3,-
Paraparaumu Aero,Sep-01,9,199,-
Paraparaumu Aero,Oct-01,0,160.2,-
Paraparaumu Aero,Oct-01,2,13.8,-
Paraparaumu Aero,Oct-01,9,131.1,-
Paraparaumu Aero,Nov-01,0,167.8,-
Paraparaumu Aero,Nov-01,2,14.7,-
Paraparaumu Aero,Nov-01,9,172.7,-
Paraparaumu Aero,Dec-01,0,126.4,-
Paraparaumu Aero,Dec-01,2,17.2,-
Paraparaumu Aero,Dec-01,9,134.6,-
Paraparaumu Aero,Jan-02,0,65.5,-
Paraparaumu Aero,Jan-02,2,17.3,-
Paraparaumu Aero,Jan-02,9,237.8,-
Paraparaumu Aero,Feb-02,0,91.5,-
Paraparaumu Aero,Feb-02,2,15.9,-
Paraparaumu Aero,Feb-02,9,214.7,-
Paraparaumu Aero,Mar-02,0,79.8,-
Paraparaumu Aero,Mar-02,2,16.3,-
Paraparaumu Aero,Mar-02,9,207.1,-
Paraparaumu Aero,Apr-02,0,32.5,-
Paraparaumu Aero,Apr-02,2,12.8,-
Paraparaumu Aero,Apr-02,9,147.4,-
Paraparaumu Aero,May-02,0,54.1,-
Paraparaumu Aero,May-02,2,12,-
Paraparaumu Aero,May-02,9,144,-
Paraparaumu Aero,Jun-02,0,185.6,-
Paraparaumu Aero,Jun-02,2,11.4,-
Paraparaumu Aero,Jun-02,9,91,-
Paraparaumu Aero,Jul-02,0,127.1,-
Paraparaumu Aero,Jul-02,2,9.6,-
Paraparaumu Aero,Jul-02,9,95.7,-
Paraparaumu Aero,Aug-02,0,119.7,-
Paraparaumu Aero,Aug-02,2,9.9,-
Paraparaumu Aero,Aug-02,9,150.6,-
Paraparaumu Aero,Sep-02,0,80.5,-
Paraparaumu Aero,Sep-02,2,11.8,-
Paraparaumu Aero,Sep-02,9,140.6,-
Paraparaumu Aero,Oct-02,0,56.8,-
Paraparaumu Aero,Oct-02,2,11.8,-
Paraparaumu Aero,Oct-02,9,256.2,-
Paraparaumu Aero,Nov-02,0,47.3,-
Paraparaumu Aero,Nov-02,2,12.7,-
Paraparaumu Aero,Nov-02,9,162.5,-
Paraparaumu Aero,Dec-02,0,91.3,-
Paraparaumu Aero,Dec-02,2,15.8,-
Paraparaumu Aero,Dec-02,9,228.4,-
Paraparaumu Aero,Jan-03,0,18.8,-
Paraparaumu Aero,Jan-03,2,16.5,-
Paraparaumu Aero,Jan-03,9,269.9,-
Paraparaumu Aero,Feb-03,0,15.5,-
Paraparaumu Aero,Feb-03,2,17.2,-
Paraparaumu Aero,Feb-03,9,232.8,-
Paraparaumu Aero,Mar-03,0,30.3,-
Paraparaumu Aero,Mar-03,2,16.7,-
Paraparaumu Aero,Mar-03,9,279.6,-
Paraparaumu Aero,Apr-03,0,17.4,-
Paraparaumu Aero,Apr-03,2,13,-
Paraparaumu Aero,Apr-03,9,180.3,-
Paraparaumu Aero,May-03,0,109.8,-
Paraparaumu Aero,May-03,2,12.6,-
Paraparaumu Aero,May-03,9,144.4,-
Paraparaumu Aero,Jun-03,0,153.7,-
Paraparaumu Aero,Jun-03,2,12.2,-
Paraparaumu Aero,Jun-03,9,93.2,-
Paraparaumu Aero,Jul-03,0,60.5,-
Paraparaumu Aero,Jul-03,2,7.5,-
Paraparaumu Aero,Jul-03,9,160.6,-
Paraparaumu Aero,Aug-03,0,34.7,-
Paraparaumu Aero,Aug-03,2,10,-
Paraparaumu Aero,Aug-03,9,150.6,-
Paraparaumu Aero,Sep-03,0,143.1,-
Paraparaumu Aero,Sep-03,2,11.3,-
Paraparaumu Aero,Sep-03,9,150.2,-
Paraparaumu Aero,Oct-03,0,128,-
Paraparaumu Aero,Oct-03,2,12.3,-
Paraparaumu Aero,Oct-03,9,199.3,-
Paraparaumu Aero,Nov-03,0,50.1,-
Paraparaumu Aero,Nov-03,2,13.7,-
Paraparaumu Aero,Nov-03,9,204.7,-
Paraparaumu Aero,Dec-03,0,60.9,-
Paraparaumu Aero,Dec-03,2,16.2,-
Paraparaumu Aero,Dec-03,9,187.8,-
Paraparaumu Aero,Jan-04,0,98.4,-
Paraparaumu Aero,Jan-04,2,17.7,-
Paraparaumu Aero,Jan-04,9,205.6,-
Paraparaumu Aero,Feb-04,0,364.4,-
Paraparaumu Aero,Feb-04,2,16.5,-
Paraparaumu Aero,Feb-04,9,136,-
Paraparaumu Aero,Mar-04,0,54.2,-
Paraparaumu Aero,Mar-04,2,14.9,-
Paraparaumu Aero,Mar-04,9,206,-
Paraparaumu Aero,Apr-04,0,75.3,-
Paraparaumu Aero,Apr-04,2,12.1,-
Paraparaumu Aero,Apr-04,9,176.1,-
Paraparaumu Aero,May-04,0,41.3,-
Paraparaumu Aero,May-04,2,11.8,-
