Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1946,07,0.5,Y
IDCJAC0001,042027,1946,08,0.0,Y
IDCJAC0001,042027,1946,09,120.9,Y
IDCJAC0001,042027,1946,10,3.3,Y
IDCJAC0001,042027,1946,11,33.0,Y
IDCJAC0001,042027,1946,12,53.6,Y
IDCJAC0001,042027,1947,01,31.7,Y
IDCJAC0001,042027,1947,02,207.4,Y
IDCJAC0001,042027,1947,03,192.3,Y
IDCJAC0001,042027,1947,04,20.1,Y
IDCJAC0001,042027,1947,05,29.3,Y
IDCJAC0001,042027,1947,06,21.1,Y
IDCJAC0001,042027,1947,07,12.9,Y
IDCJAC0001,042027,1947,08,78.2,Y
IDCJAC0001,042027,1947,09,34.3,Y
IDCJAC0001,042027,1947,10,53.9,Y
IDCJAC0001,042027,1947,11,87.1,Y
IDCJAC0001,042027,1947,12,81.0,Y
IDCJAC0001,042027,1948,01,71.4,Y
IDCJAC0001,042027,1948,02,11.5,Y
IDCJAC0001,042027,1948,03,82.0,Y
IDCJAC0001,042027,1948,04,38.1,Y
IDCJAC0001,042027,1948,05,94.2,Y
IDCJAC0001,042027,1948,06,118.9,Y
IDCJAC0001,042027,1948,07,33.2,Y
IDCJAC0001,042027,1948,08,10.6,Y
IDCJAC0001,042027,1948,09,52.8,Y
IDCJAC0001,042027,1948,10,5.2,Y
IDCJAC0001,042027,1948,11,26.2,Y
IDCJAC0001,042027,1948,12,42.2,Y
IDCJAC0001,042027,1949,01,70.2,Y
IDCJAC0001,042027,1949,02,87.6,Y
IDCJAC0001,042027,1949,03,54.1,Y
IDCJAC0001,042027,1949,04,22.4,Y
IDCJAC0001,042027,1949,05,21.6,Y
IDCJAC0001,042027,1949,06,18.8,Y
IDCJAC0001,042027,1949,07,0.0,Y
IDCJAC0001,042027,1949,08,3.8,Y
IDCJAC0001,042027,1949,09,91.1,Y
IDCJAC0001,042027,1949,10,137.6,Y
IDCJAC0001,042027,1949,11,56.1,Y
IDCJAC0001,042027,1949,12,0.0,Y
IDCJAC0001,042027,1950,01,64.0,Y
IDCJAC0001,042027,1950,02,120.1,Y
IDCJAC0001,042027,1950,03,23.3,Y
IDCJAC0001,042027,1950,04,61.2,Y
IDCJAC0001,042027,1950,05,19.3,Y
IDCJAC0001,042027,1950,06,91.9,Y
IDCJAC0001,042027,1950,07,210.3,Y
IDCJAC0001,042027,1950,08,0.0,Y
IDCJAC0001,042027,1950,10,86.6,Y
IDCJAC0001,042027,1951,01,153.4,Y
IDCJAC0001,042027,1951,03,60.2,Y
IDCJAC0001,042027,1951,05,6.9,Y
IDCJAC0001,042027,1951,06,44.0,Y
IDCJAC0001,042027,1951,07,0.0,Y
IDCJAC0001,042027,1951,08,26.4,Y
IDCJAC0001,042027,1951,09,16.8,Y
IDCJAC0001,042027,1951,10,28.5,Y
IDCJAC0001,042027,1951,11,13.0,Y
IDCJAC0001,042027,1951,12,16.8,Y
IDCJAC0001,042027,1952,02,113.6,Y
