"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1996","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Gasoil/diesel/DERV","ktoe","239"
"Fuel Consumption (ktoe)","1996","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Solar Photovoltaic","ktoe","0"
