"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","1991M07","Soya bean meal","Euro per Tonne","245"
"Feed Stuff Price","1991M07","Barley meal","Euro per Tonne","219"
"Feed Stuff Price","1991M07","Maize meal","Euro per Tonne","298"
"Feed Stuff Price","1991M07","Flaked maize","Euro per Tonne","390"
"Feed Stuff Price","1991M07","Pig creep (18-24% protein)","Euro per Tonne","334"
"Feed Stuff Price","1991M07","Pig grower (16-18% protein)","Euro per Tonne","258"
"Feed Stuff Price","1991M07","Pig fattening meal (13-15% protein)","Euro per Tonne","246"
"Feed Stuff Price","1991M07","Sow breeder (14-16% protein)","Euro per Tonne","247"
"Feed Stuff Price","1991M07","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","258"
"Feed Stuff Price","1991M07","Calf nuts and cubes (16-18% protein)","Euro per Tonne","235"
"Feed Stuff Price","1991M07","Calf meal (16-18% protein)","Euro per Tonne","232"
"Feed Stuff Price","1991M07","Calf nuts and cubes (14-15% protein)","Euro per Tonne","235"
"Feed Stuff Price","1991M07","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","212"
"Feed Stuff Price","1991M07","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","211"
"Feed Stuff Price","1991M07","Dairy meal (16-18% protein)","Euro per Tonne","212"
"Feed Stuff Price","1991M07","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","203"
"Feed Stuff Price","1991M07","Dairy meal (13-15% protein)","Euro per Tonne","217"
"Feed Stuff Price","1991M07","Chick mash (18-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","1991M07","Layers' mash (14-16% protein)","Euro per Tonne","266"
"Feed Stuff Price","1991M07","Broiler starter (22-24% protein)","Euro per Tonne","357"
"Feed Stuff Price","1991M07","Broiler finisher (19-21% protein)","Euro per Tonne","328"
"Feed Stuff Price","1991M07","Milk replacer","Euro per Tonne","1477"
"Feed Stuff Price","1991M07","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M07","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M07","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M07","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M07","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M08","Rolled barley","Euro per Tonne","211"
"Feed Stuff Price","1991M08","Bran","Euro per Tonne","359"
"Feed Stuff Price","1991M08","Pollard","Euro per Tonne","243"
"Feed Stuff Price","1991M08","Soya bean meal","Euro per Tonne","245"
"Feed Stuff Price","1991M08","Barley meal","Euro per Tonne","217"
"Feed Stuff Price","1991M08","Maize meal","Euro per Tonne","302"
"Feed Stuff Price","1991M08","Flaked maize","Euro per Tonne","386"
"Feed Stuff Price","1991M08","Pig creep (18-24% protein)","Euro per Tonne","331"
"Feed Stuff Price","1991M08","Pig grower (16-18% protein)","Euro per Tonne","256"
"Feed Stuff Price","1991M08","Pig fattening meal (13-15% protein)","Euro per Tonne","246"
"Feed Stuff Price","1991M08","Sow breeder (14-16% protein)","Euro per Tonne","247"
"Feed Stuff Price","1991M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","260"
"Feed Stuff Price","1991M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne","237"
"Feed Stuff Price","1991M08","Calf meal (16-18% protein)","Euro per Tonne","232"
"Feed Stuff Price","1991M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne","232"
"Feed Stuff Price","1991M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","210"
"Feed Stuff Price","1991M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","211"
"Feed Stuff Price","1991M08","Dairy meal (16-18% protein)","Euro per Tonne","213"
"Feed Stuff Price","1991M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","204"
"Feed Stuff Price","1991M08","Dairy meal (13-15% protein)","Euro per Tonne","216"
"Feed Stuff Price","1991M08","Chick mash (18-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","1991M08","Layers' mash (14-16% protein)","Euro per Tonne","268"
"Feed Stuff Price","1991M08","Broiler starter (22-24% protein)","Euro per Tonne","357"
"Feed Stuff Price","1991M08","Broiler finisher (19-21% protein)","Euro per Tonne","333"
"Feed Stuff Price","1991M08","Milk replacer","Euro per Tonne","1480"
"Feed Stuff Price","1991M08","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M08","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M08","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M08","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M08","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M09","Rolled barley","Euro per Tonne","210"
"Feed Stuff Price","1991M09","Bran","Euro per Tonne","355"
"Feed Stuff Price","1991M09","Pollard","Euro per Tonne","238"
"Feed Stuff Price","1991M09","Soya bean meal","Euro per Tonne","250"
"Feed Stuff Price","1991M09","Barley meal","Euro per Tonne","210"
"Feed Stuff Price","1991M09","Maize meal","Euro per Tonne","306"
"Feed Stuff Price","1991M09","Flaked maize","Euro per Tonne","385"
"Feed Stuff Price","1991M09","Pig creep (18-24% protein)","Euro per Tonne","338"
"Feed Stuff Price","1991M09","Pig grower (16-18% protein)","Euro per Tonne","259"
"Feed Stuff Price","1991M09","Pig fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","1991M09","Sow breeder (14-16% protein)","Euro per Tonne","249"
"Feed Stuff Price","1991M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","255"
"Feed Stuff Price","1991M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne","236"
"Feed Stuff Price","1991M09","Calf meal (16-18% protein)","Euro per Tonne","235"
"Feed Stuff Price","1991M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne","229"
"Feed Stuff Price","1991M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","211"
"Feed Stuff Price","1991M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","209"
"Feed Stuff Price","1991M09","Dairy meal (16-18% protein)","Euro per Tonne","215"
"Feed Stuff Price","1991M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M09","Dairy meal (13-15% protein)","Euro per Tonne","223"
"Feed Stuff Price","1991M09","Chick mash (18-20% protein)","Euro per Tonne","307"
"Feed Stuff Price","1991M09","Layers' mash (14-16% protein)","Euro per Tonne","267"
"Feed Stuff Price","1991M09","Broiler starter (22-24% protein)","Euro per Tonne","355"
"Feed Stuff Price","1991M09","Broiler finisher (19-21% protein)","Euro per Tonne","332"
"Feed Stuff Price","1991M09","Milk replacer","Euro per Tonne","1475"
"Feed Stuff Price","1991M09","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M09","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M09","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M09","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M09","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M10","Rolled barley","Euro per Tonne","204"
"Feed Stuff Price","1991M10","Bran","Euro per Tonne","351"
"Feed Stuff Price","1991M10","Pollard","Euro per Tonne","238"
"Feed Stuff Price","1991M10","Soya bean meal","Euro per Tonne","251"
"Feed Stuff Price","1991M10","Barley meal","Euro per Tonne","213"
"Feed Stuff Price","1991M10","Maize meal","Euro per Tonne","299"
"Feed Stuff Price","1991M10","Flaked maize","Euro per Tonne","384"
"Feed Stuff Price","1991M10","Pig creep (18-24% protein)","Euro per Tonne","331"
"Feed Stuff Price","1991M10","Pig grower (16-18% protein)","Euro per Tonne","256"
"Feed Stuff Price","1991M10","Pig fattening meal (13-15% protein)","Euro per Tonne","248"
"Feed Stuff Price","1991M10","Sow breeder (14-16% protein)","Euro per Tonne","245"
"Feed Stuff Price","1991M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","257"
"Feed Stuff Price","1991M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne","234"
"Feed Stuff Price","1991M10","Calf meal (16-18% protein)","Euro per Tonne","236"
"Feed Stuff Price","1991M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne","231"
"Feed Stuff Price","1991M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","207"
"Feed Stuff Price","1991M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","209"
"Feed Stuff Price","1991M10","Dairy meal (16-18% protein)","Euro per Tonne","215"
"Feed Stuff Price","1991M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M10","Dairy meal (13-15% protein)","Euro per Tonne","223"
"Feed Stuff Price","1991M10","Chick mash (18-20% protein)","Euro per Tonne","307"
"Feed Stuff Price","1991M10","Layers' mash (14-16% protein)","Euro per Tonne","265"
"Feed Stuff Price","1991M10","Broiler starter (22-24% protein)","Euro per Tonne","352"
"Feed Stuff Price","1991M10","Broiler finisher (19-21% protein)","Euro per Tonne","330"
"Feed Stuff Price","1991M10","Milk replacer","Euro per Tonne","1479"
"Feed Stuff Price","1991M10","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M10","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M10","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M10","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M10","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Rolled barley","Euro per Tonne","204"
"Feed Stuff Price","1991M11","Bran","Euro per Tonne","345"
"Feed Stuff Price","1991M11","Pollard","Euro per Tonne","238"
"Feed Stuff Price","1991M11","Soya bean meal","Euro per Tonne","250"
"Feed Stuff Price","1991M11","Barley meal","Euro per Tonne","216"
"Feed Stuff Price","1991M11","Maize meal","Euro per Tonne","292"
"Feed Stuff Price","1991M11","Flaked maize","Euro per Tonne","385"
"Feed Stuff Price","1991M11","Pig creep (18-24% protein)","Euro per Tonne","333"
"Feed Stuff Price","1991M11","Pig grower (16-18% protein)","Euro per Tonne","251"
"Feed Stuff Price","1991M11","Pig fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","1991M11","Sow breeder (14-16% protein)","Euro per Tonne","244"
"Feed Stuff Price","1991M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","258"
"Feed Stuff Price","1991M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne","235"
"Feed Stuff Price","1991M11","Calf meal (16-18% protein)","Euro per Tonne","236"
"Feed Stuff Price","1991M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne","233"
"Feed Stuff Price","1991M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","203"
"Feed Stuff Price","1991M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","209"
"Feed Stuff Price","1991M11","Dairy meal (16-18% protein)","Euro per Tonne","216"
"Feed Stuff Price","1991M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Chick mash (18-20% protein)","Euro per Tonne","303"
"Feed Stuff Price","1991M11","Layers' mash (14-16% protein)","Euro per Tonne","262"
"Feed Stuff Price","1991M11","Broiler starter (22-24% protein)","Euro per Tonne","352"
"Feed Stuff Price","1991M11","Broiler finisher (19-21% protein)","Euro per Tonne","325"
"Feed Stuff Price","1991M11","Milk replacer","Euro per Tonne","1490"
"Feed Stuff Price","1991M11","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M11","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M11","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Rolled barley","Euro per Tonne","204"
"Feed Stuff Price","1991M12","Bran","Euro per Tonne","349"
"Feed Stuff Price","1991M12","Pollard","Euro per Tonne","238"
"Feed Stuff Price","1991M12","Soya bean meal","Euro per Tonne","249"
"Feed Stuff Price","1991M12","Barley meal","Euro per Tonne","215"
"Feed Stuff Price","1991M12","Maize meal","Euro per Tonne","292"
"Feed Stuff Price","1991M12","Flaked maize","Euro per Tonne","387"
"Feed Stuff Price","1991M12","Pig creep (18-24% protein)","Euro per Tonne","329"
"Feed Stuff Price","1991M12","Pig grower (16-18% protein)","Euro per Tonne","252"
"Feed Stuff Price","1991M12","Pig fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","1991M12","Sow breeder (14-16% protein)","Euro per Tonne","243"
"Feed Stuff Price","1991M12","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","258"
"Feed Stuff Price","1991M12","Calf nuts and cubes (16-18% protein)","Euro per Tonne","233"
"Feed Stuff Price","1991M12","Calf meal (16-18% protein)","Euro per Tonne","238"
"Feed Stuff Price","1991M12","Calf nuts and cubes (14-15% protein)","Euro per Tonne","236"
"Feed Stuff Price","1991M12","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","204"
"Feed Stuff Price","1991M12","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","208"
"Feed Stuff Price","1991M12","Dairy meal (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Chick mash (18-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","1991M12","Layers' mash (14-16% protein)","Euro per Tonne","264"
"Feed Stuff Price","1991M12","Broiler starter (22-24% protein)","Euro per Tonne","352"
"Feed Stuff Price","1991M12","Broiler finisher (19-21% protein)","Euro per Tonne","323"
"Feed Stuff Price","1991M12","Milk replacer","Euro per Tonne","1477"
"Feed Stuff Price","1991M12","Wheat","Euro per Tonne",""
"Feed Stuff Price","1991M12","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1991M12","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M01","Rolled barley","Euro per Tonne","206"
"Feed Stuff Price","1992M01","Bran","Euro per Tonne","344"
"Feed Stuff Price","1992M01","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M01","Soya bean meal","Euro per Tonne","246"
"Feed Stuff Price","1992M01","Barley meal","Euro per Tonne","217"
"Feed Stuff Price","1992M01","Maize meal","Euro per Tonne","293"
"Feed Stuff Price","1992M01","Flaked maize","Euro per Tonne","376"
"Feed Stuff Price","1992M01","Pig creep (18-24% protein)","Euro per Tonne","329"
"Feed Stuff Price","1992M01","Pig grower (16-18% protein)","Euro per Tonne","255"
"Feed Stuff Price","1992M01","Pig fattening meal (13-15% protein)","Euro per Tonne","251"
"Feed Stuff Price","1992M01","Sow breeder (14-16% protein)","Euro per Tonne","246"
"Feed Stuff Price","1992M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","263"
"Feed Stuff Price","1992M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne","237"
"Feed Stuff Price","1992M01","Calf meal (16-18% protein)","Euro per Tonne","232"
"Feed Stuff Price","1992M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne","233"
"Feed Stuff Price","1992M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","205"
"Feed Stuff Price","1992M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","210"
"Feed Stuff Price","1992M01","Dairy meal (16-18% protein)","Euro per Tonne","218"
"Feed Stuff Price","1992M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M01","Dairy meal (13-15% protein)","Euro per Tonne","218"
"Feed Stuff Price","1992M01","Chick mash (18-20% protein)","Euro per Tonne","308"
"Feed Stuff Price","1992M01","Layers' mash (14-16% protein)","Euro per Tonne","261"
"Feed Stuff Price","1992M01","Broiler starter (22-24% protein)","Euro per Tonne","353"
"Feed Stuff Price","1992M01","Broiler finisher (19-21% protein)","Euro per Tonne","328"
"Feed Stuff Price","1992M01","Milk replacer","Euro per Tonne","1481"
"Feed Stuff Price","1992M01","Wheat","Euro per Tonne",""
"Feed Stuff Price","1992M01","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M01","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1992M01","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M01","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M02","Rolled barley","Euro per Tonne","205"
"Feed Stuff Price","1992M02","Bran","Euro per Tonne","348"
"Feed Stuff Price","1992M02","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M02","Soya bean meal","Euro per Tonne","246"
"Feed Stuff Price","1992M02","Barley meal","Euro per Tonne","215"
"Feed Stuff Price","1992M02","Maize meal","Euro per Tonne","290"
"Feed Stuff Price","1992M02","Flaked maize","Euro per Tonne","378"
"Feed Stuff Price","1992M02","Pig creep (18-24% protein)","Euro per Tonne","329"
"Feed Stuff Price","1992M02","Pig grower (16-18% protein)","Euro per Tonne","255"
"Feed Stuff Price","1992M02","Pig fattening meal (13-15% protein)","Euro per Tonne","249"
"Feed Stuff Price","1992M02","Sow breeder (14-16% protein)","Euro per Tonne","246"
"Feed Stuff Price","1992M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","264"
"Feed Stuff Price","1992M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne","237"
"Feed Stuff Price","1992M02","Calf meal (16-18% protein)","Euro per Tonne","239"
"Feed Stuff Price","1992M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne","232"
"Feed Stuff Price","1992M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","206"
"Feed Stuff Price","1992M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","210"
"Feed Stuff Price","1992M02","Dairy meal (16-18% protein)","Euro per Tonne","218"
"Feed Stuff Price","1992M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","217"
"Feed Stuff Price","1992M02","Dairy meal (13-15% protein)","Euro per Tonne","218"
"Feed Stuff Price","1992M02","Chick mash (18-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","1992M02","Layers' mash (14-16% protein)","Euro per Tonne","262"
"Feed Stuff Price","1992M02","Broiler starter (22-24% protein)","Euro per Tonne","352"
"Feed Stuff Price","1992M02","Broiler finisher (19-21% protein)","Euro per Tonne","327"
"Feed Stuff Price","1992M02","Milk replacer","Euro per Tonne","1512"
"Feed Stuff Price","1992M02","Wheat","Euro per Tonne",""
"Feed Stuff Price","1992M02","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M02","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1992M02","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M02","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Rolled barley","Euro per Tonne","205"
"Feed Stuff Price","1992M03","Bran","Euro per Tonne","351"
"Feed Stuff Price","1992M03","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M03","Soya bean meal","Euro per Tonne","246"
"Feed Stuff Price","1992M03","Barley meal","Euro per Tonne","216"
"Feed Stuff Price","1992M03","Maize meal","Euro per Tonne","288"
"Feed Stuff Price","1992M03","Flaked maize","Euro per Tonne","378"
"Feed Stuff Price","1992M03","Pig creep (18-24% protein)","Euro per Tonne","331"
"Feed Stuff Price","1992M03","Pig grower (16-18% protein)","Euro per Tonne","257"
"Feed Stuff Price","1992M03","Pig fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","1992M03","Sow breeder (14-16% protein)","Euro per Tonne","247"
"Feed Stuff Price","1992M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","264"
"Feed Stuff Price","1992M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne","236"
"Feed Stuff Price","1992M03","Calf meal (16-18% protein)","Euro per Tonne","239"
"Feed Stuff Price","1992M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne","233"
"Feed Stuff Price","1992M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","206"
"Feed Stuff Price","1992M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","211"
"Feed Stuff Price","1992M03","Dairy meal (16-18% protein)","Euro per Tonne","217"
"Feed Stuff Price","1992M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Chick mash (18-20% protein)","Euro per Tonne","312"
"Feed Stuff Price","1992M03","Layers' mash (14-16% protein)","Euro per Tonne","263"
"Feed Stuff Price","1992M03","Broiler starter (22-24% protein)","Euro per Tonne","353"
"Feed Stuff Price","1992M03","Broiler finisher (19-21% protein)","Euro per Tonne","328"
"Feed Stuff Price","1992M03","Milk replacer","Euro per Tonne","1552"
"Feed Stuff Price","1992M03","Wheat","Euro per Tonne",""
"Feed Stuff Price","1992M03","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M03","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Rolled barley","Euro per Tonne","207"
"Feed Stuff Price","1992M04","Bran","Euro per Tonne","351"
"Feed Stuff Price","1992M04","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M04","Soya bean meal","Euro per Tonne","247"
"Feed Stuff Price","1992M04","Barley meal","Euro per Tonne","216"
"Feed Stuff Price","1992M04","Maize meal","Euro per Tonne","288"
"Feed Stuff Price","1992M04","Flaked maize","Euro per Tonne","380"
"Feed Stuff Price","1992M04","Pig creep (18-24% protein)","Euro per Tonne","331"
"Feed Stuff Price","1992M04","Pig grower (16-18% protein)","Euro per Tonne","255"
"Feed Stuff Price","1992M04","Pig fattening meal (13-15% protein)","Euro per Tonne","250"
"Feed Stuff Price","1992M04","Sow breeder (14-16% protein)","Euro per Tonne","246"
"Feed Stuff Price","1992M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","264"
"Feed Stuff Price","1992M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne","236"
"Feed Stuff Price","1992M04","Calf meal (16-18% protein)","Euro per Tonne","239"
"Feed Stuff Price","1992M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne","233"
"Feed Stuff Price","1992M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","206"
"Feed Stuff Price","1992M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","211"
"Feed Stuff Price","1992M04","Dairy meal (16-18% protein)","Euro per Tonne","218"
"Feed Stuff Price","1992M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Chick mash (18-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","1992M04","Layers' mash (14-16% protein)","Euro per Tonne","261"
"Feed Stuff Price","1992M04","Broiler starter (22-24% protein)","Euro per Tonne","350"
"Feed Stuff Price","1992M04","Broiler finisher (19-21% protein)","Euro per Tonne","330"
"Feed Stuff Price","1992M04","Milk replacer","Euro per Tonne","1546"
"Feed Stuff Price","1992M04","Wheat","Euro per Tonne",""
"Feed Stuff Price","1992M04","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M04","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Rolled barley","Euro per Tonne","209"
"Feed Stuff Price","1992M05","Bran","Euro per Tonne","352"
"Feed Stuff Price","1992M05","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M05","Soya bean meal","Euro per Tonne","248"
"Feed Stuff Price","1992M05","Barley meal","Euro per Tonne","215"
"Feed Stuff Price","1992M05","Maize meal","Euro per Tonne","287"
"Feed Stuff Price","1992M05","Flaked maize","Euro per Tonne","380"
"Feed Stuff Price","1992M05","Pig creep (18-24% protein)","Euro per Tonne","328"
"Feed Stuff Price","1992M05","Pig grower (16-18% protein)","Euro per Tonne","256"
"Feed Stuff Price","1992M05","Pig fattening meal (13-15% protein)","Euro per Tonne","254"
"Feed Stuff Price","1992M05","Sow breeder (14-16% protein)","Euro per Tonne","249"
"Feed Stuff Price","1992M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","264"
"Feed Stuff Price","1992M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne","235"
"Feed Stuff Price","1992M05","Calf meal (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne","230"
"Feed Stuff Price","1992M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","209"
"Feed Stuff Price","1992M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","213"
"Feed Stuff Price","1992M05","Dairy meal (16-18% protein)","Euro per Tonne","222"
"Feed Stuff Price","1992M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Chick mash (18-20% protein)","Euro per Tonne","308"
"Feed Stuff Price","1992M05","Layers' mash (14-16% protein)","Euro per Tonne","258"
"Feed Stuff Price","1992M05","Broiler starter (22-24% protein)","Euro per Tonne","351"
"Feed Stuff Price","1992M05","Broiler finisher (19-21% protein)","Euro per Tonne","325"
"Feed Stuff Price","1992M05","Milk replacer","Euro per Tonne","1549"
"Feed Stuff Price","1992M05","Wheat","Euro per Tonne",""
"Feed Stuff Price","1992M05","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M05","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1992M06","Rolled barley","Euro per Tonne","207"
"Feed Stuff Price","1992M06","Bran","Euro per Tonne","350"
"Feed Stuff Price","1992M06","Pollard","Euro per Tonne","236"
"Feed Stuff Price","1992M06","Soya bean meal","Euro per Tonne","248"
"Feed Stuff Price","1992M06","Barley meal","Euro per Tonne","215"
"Feed Stuff Price","1992M06","Maize meal","Euro per Tonne","294"
"Feed Stuff Price","1992M06","Flaked maize","Euro per Tonne","383"
"Feed Stuff Price","1992M06","Pig creep (18-24% protein)","Euro per Tonne","329"
