"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2014M09","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Milk replacer","Euro per Tonne","2250"
"Feed Stuff Price","2014M09","Wheat","Euro per Tonne","185"
"Feed Stuff Price","2014M09","Ewe feed coarse (16-20% protein)","Euro per Tonne","273"
"Feed Stuff Price","2014M09","Ewe pellets/nuts (16-20%)","Euro per Tonne","289"
"Feed Stuff Price","2014M09","Lamb feed (16-20% protein)","Euro per Tonne","297"
"Feed Stuff Price","2014M09","Cattle fattening meal (13-15% protein)","Euro per Tonne","261"
"Feed Stuff Price","2014M10","Rolled barley","Euro per Tonne","202"
"Feed Stuff Price","2014M10","Soya bean meal","Euro per Tonne","420"
"Feed Stuff Price","2014M10","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M10","Maize meal","Euro per Tonne","227"
"Feed Stuff Price","2014M10","Flaked maize","Euro per Tonne","279"
"Feed Stuff Price","2014M10","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne","279"
"Feed Stuff Price","2014M10","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","268"
"Feed Stuff Price","2014M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","270"
"Feed Stuff Price","2014M10","Dairy meal (16-18% protein)","Euro per Tonne","250"
"Feed Stuff Price","2014M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M10","Layers' mash (14-16% protein)","Euro per Tonne","332"
"Feed Stuff Price","2014M10","Broiler starter (22-24% protein)","Euro per Tonne","499"
"Feed Stuff Price","2014M10","Broiler finisher (19-21% protein)","Euro per Tonne","465"
"Feed Stuff Price","2014M10","Milk replacer","Euro per Tonne","2296"
"Feed Stuff Price","2014M10","Wheat","Euro per Tonne","171"
"Feed Stuff Price","2014M10","Ewe feed coarse (16-20% protein)","Euro per Tonne","266"
"Feed Stuff Price","2014M10","Ewe pellets/nuts (16-20%)","Euro per Tonne","276"
"Feed Stuff Price","2014M10","Lamb feed (16-20% protein)","Euro per Tonne","284"
"Feed Stuff Price","2014M10","Cattle fattening meal (13-15% protein)","Euro per Tonne","256"
"Feed Stuff Price","2014M11","Rolled barley","Euro per Tonne","203"
"Feed Stuff Price","2014M11","Soya bean meal","Euro per Tonne","424"
"Feed Stuff Price","2014M11","Barley meal","Euro per Tonne","185"
"Feed Stuff Price","2014M11","Maize meal","Euro per Tonne","224"
"Feed Stuff Price","2014M11","Flaked maize","Euro per Tonne","276"
"Feed Stuff Price","2014M11","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne","287"
"Feed Stuff Price","2014M11","Calf meal (16-18% protein)","Euro per Tonne","."
