"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1977M01","Heifers 400-449kg","Euro","79.36"
"Cattle Price per 100 Kg","1977M01","Cows for slaughter","Euro","63.61"
"Cattle Price per 100 Kg","1977M02","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M02","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M02","Bullocks 300-349kg","Euro","99.03"
"Cattle Price per 100 Kg","1977M02","Bullocks 350-399kg","Euro","94.85"
"Cattle Price per 100 Kg","1977M02","Bullocks 400-449kg","Euro","91.43"
"Cattle Price per 100 Kg","1977M02","Bullocks 450-499kg","Euro","89.77"
"Cattle Price per 100 Kg","1977M02","Bullocks 500-549kg","Euro","83.83"
"Cattle Price per 100 Kg","1977M02","Bullocks 550kg+","Euro","83.61"
"Cattle Price per 100 Kg","1977M02","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M02","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M02","Heifers 300-349kg","Euro","70.61"
"Cattle Price per 100 Kg","1977M02","Heifers 350-399kg","Euro","78.43"
"Cattle Price per 100 Kg","1977M02","Heifers 400-449kg","Euro","85.57"
"Cattle Price per 100 Kg","1977M02","Cows for slaughter","Euro","68.54"
"Cattle Price per 100 Kg","1977M03","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M03","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M03","Bullocks 300-349kg","Euro","95.74"
"Cattle Price per 100 Kg","1977M03","Bullocks 350-399kg","Euro","90.74"
"Cattle Price per 100 Kg","1977M03","Bullocks 400-449kg","Euro","89.9"
"Cattle Price per 100 Kg","1977M03","Bullocks 450-499kg","Euro","84.12"
"Cattle Price per 100 Kg","1977M03","Bullocks 500-549kg","Euro","82.3"
"Cattle Price per 100 Kg","1977M03","Bullocks 550kg+","Euro","83.27"
"Cattle Price per 100 Kg","1977M03","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M03","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M03","Heifers 300-349kg","Euro","77.02"
"Cattle Price per 100 Kg","1977M03","Heifers 350-399kg","Euro","85.36"
"Cattle Price per 100 Kg","1977M03","Heifers 400-449kg","Euro","91.84"
"Cattle Price per 100 Kg","1977M03","Cows for slaughter","Euro","71.78"
"Cattle Price per 100 Kg","1977M04","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M04","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M04","Bullocks 300-349kg","Euro","93.17"
"Cattle Price per 100 Kg","1977M04","Bullocks 350-399kg","Euro","88.81"
"Cattle Price per 100 Kg","1977M04","Bullocks 400-449kg","Euro","83.09"
"Cattle Price per 100 Kg","1977M04","Bullocks 450-499kg","Euro","81.48"
"Cattle Price per 100 Kg","1977M04","Bullocks 500-549kg","Euro","81.97"
"Cattle Price per 100 Kg","1977M04","Bullocks 550kg+","Euro","81.67"
"Cattle Price per 100 Kg","1977M04","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M04","Heifers 250-299kg","Euro","74.58"
"Cattle Price per 100 Kg","1977M04","Heifers 300-349kg","Euro","84.42"
"Cattle Price per 100 Kg","1977M04","Heifers 350-399kg","Euro","90.88"
"Cattle Price per 100 Kg","1977M04","Heifers 400-449kg","Euro","94.96"
"Cattle Price per 100 Kg","1977M04","Cows for slaughter","Euro","74.65"
"Cattle Price per 100 Kg","1977M05","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M05","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M05","Bullocks 300-349kg","Euro","89.8"
"Cattle Price per 100 Kg","1977M05","Bullocks 350-399kg","Euro","84.39"
"Cattle Price per 100 Kg","1977M05","Bullocks 400-449kg","Euro","79.84"
"Cattle Price per 100 Kg","1977M05","Bullocks 450-499kg","Euro","81.25"
"Cattle Price per 100 Kg","1977M05","Bullocks 500-549kg","Euro","80.3"
"Cattle Price per 100 Kg","1977M05","Bullocks 550kg+","Euro","84.26"
"Cattle Price per 100 Kg","1977M05","Heifers 200-249kg","Euro","74.48"
"Cattle Price per 100 Kg","1977M05","Heifers 250-299kg","Euro","82.14"
"Cattle Price per 100 Kg","1977M05","Heifers 300-349kg","Euro","90.04"
"Cattle Price per 100 Kg","1977M05","Heifers 350-399kg","Euro","94.15"
"Cattle Price per 100 Kg","1977M05","Heifers 400-449kg","Euro","97.93"
"Cattle Price per 100 Kg","1977M05","Cows for slaughter","Euro","76.86"
"Cattle Price per 100 Kg","1977M06","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M06","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M06","Bullocks 300-349kg","Euro","86.53"
"Cattle Price per 100 Kg","1977M06","Bullocks 350-399kg","Euro","81.47"
"Cattle Price per 100 Kg","1977M06","Bullocks 400-449kg","Euro","79.73"
"Cattle Price per 100 Kg","1977M06","Bullocks 450-499kg","Euro","78.6"
"Cattle Price per 100 Kg","1977M06","Bullocks 500-549kg","Euro","82.6"
"Cattle Price per 100 Kg","1977M06","Bullocks 550kg+","Euro","89.4"
"Cattle Price per 100 Kg","1977M06","Heifers 200-249kg","Euro","81.66"
"Cattle Price per 100 Kg","1977M06","Heifers 250-299kg","Euro","89.33"
"Cattle Price per 100 Kg","1977M06","Heifers 300-349kg","Euro","94.34"
"Cattle Price per 100 Kg","1977M06","Heifers 350-399kg","Euro","96.89"
"Cattle Price per 100 Kg","1977M06","Heifers 400-449kg","Euro","93.67"
"Cattle Price per 100 Kg","1977M06","Cows for slaughter","Euro","73.64"
"Cattle Price per 100 Kg","1977M07","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M07","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M07","Bullocks 300-349kg","Euro","84.42"
"Cattle Price per 100 Kg","1977M07","Bullocks 350-399kg","Euro","80.98"
"Cattle Price per 100 Kg","1977M07","Bullocks 400-449kg","Euro","77.35"
"Cattle Price per 100 Kg","1977M07","Bullocks 450-499kg","Euro","80.97"
"Cattle Price per 100 Kg","1977M07","Bullocks 500-549kg","Euro","88.28"
"Cattle Price per 100 Kg","1977M07","Bullocks 550kg+","Euro","92.59"
"Cattle Price per 100 Kg","1977M07","Heifers 200-249kg","Euro","90.11"
"Cattle Price per 100 Kg","1977M07","Heifers 250-299kg","Euro","95.12"
"Cattle Price per 100 Kg","1977M07","Heifers 300-349kg","Euro","96.86"
"Cattle Price per 100 Kg","1977M07","Heifers 350-399kg","Euro","92.84"
"Cattle Price per 100 Kg","1977M07","Heifers 400-449kg","Euro","90.32"
"Cattle Price per 100 Kg","1977M07","Cows for slaughter","Euro","73.28"
"Cattle Price per 100 Kg","1977M08","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M08","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M08","Bullocks 300-349kg","Euro","82.93"
"Cattle Price per 100 Kg","1977M08","Bullocks 350-399kg","Euro","78.5"
"Cattle Price per 100 Kg","1977M08","Bullocks 400-449kg","Euro","80.25"
"Cattle Price per 100 Kg","1977M08","Bullocks 450-499kg","Euro","88.41"
"Cattle Price per 100 Kg","1977M08","Bullocks 500-549kg","Euro","93.5"
"Cattle Price per 100 Kg","1977M08","Bullocks 550kg+","Euro","97.21"
"Cattle Price per 100 Kg","1977M08","Heifers 200-249kg","Euro","90.75"
