"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1983M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1984M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M05","All items","Base Dec 2016=100",""
