"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","2010M11","Food and non-alcoholic beverages","Base Dec 2016=100","104.6"
"Consumer Price Index (Base Dec 2016=100)","2010M12","All items","Base Dec 2016=100","96.5"
"Consumer Price Index (Base Dec 2016=100)","2010M12","Food and non-alcoholic beverages","Base Dec 2016=100","105"
"Consumer Price Index (Base Dec 2016=100)","2011M01","All items","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2011M01","Food and non-alcoholic beverages","Base Dec 2016=100","105.3"
"Consumer Price Index (Base Dec 2016=100)","2011M02","All items","Base Dec 2016=100","97.1"
"Consumer Price Index (Base Dec 2016=100)","2011M02","Food and non-alcoholic beverages","Base Dec 2016=100","106.1"
"Consumer Price Index (Base Dec 2016=100)","2011M03","All items","Base Dec 2016=100","98"
"Consumer Price Index (Base Dec 2016=100)","2011M03","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2011M04","All items","Base Dec 2016=100","98.4"
"Consumer Price Index (Base Dec 2016=100)","2011M04","Food and non-alcoholic beverages","Base Dec 2016=100","105.7"
"Consumer Price Index (Base Dec 2016=100)","2011M05","All items","Base Dec 2016=100","98.4"
"Consumer Price Index (Base Dec 2016=100)","2011M05","Food and non-alcoholic beverages","Base Dec 2016=100","105.7"
"Consumer Price Index (Base Dec 2016=100)","2011M06","All items","Base Dec 2016=100","98.4"
"Consumer Price Index (Base Dec 2016=100)","2011M06","Food and non-alcoholic beverages","Base Dec 2016=100","105.5"
"Consumer Price Index (Base Dec 2016=100)","2011M07","All items","Base Dec 2016=100","98.3"
"Consumer Price Index (Base Dec 2016=100)","2011M07","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2011M08","All items","Base Dec 2016=100","98.5"
"Consumer Price Index (Base Dec 2016=100)","2011M08","Food and non-alcoholic beverages","Base Dec 2016=100","106.3"
"Consumer Price Index (Base Dec 2016=100)","2011M09","All items","Base Dec 2016=100","98.8"
"Consumer Price Index (Base Dec 2016=100)","2011M09","Food and non-alcoholic beverages","Base Dec 2016=100","106"
"Consumer Price Index (Base Dec 2016=100)","2011M10","All items","Base Dec 2016=100","99.1"
"Consumer Price Index (Base Dec 2016=100)","2011M10","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2011M11","All items","Base Dec 2016=100","99.1"
"Consumer Price Index (Base Dec 2016=100)","2011M11","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2011M12","All items","Base Dec 2016=100","98.8"
"Consumer Price Index (Base Dec 2016=100)","2011M12","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2012M01","All items","Base Dec 2016=100","98.3"
"Consumer Price Index (Base Dec 2016=100)","2012M01","Food and non-alcoholic beverages","Base Dec 2016=100","105.7"
"Consumer Price Index (Base Dec 2016=100)","2012M02","All items","Base Dec 2016=100","99.2"
"Consumer Price Index (Base Dec 2016=100)","2012M02","Food and non-alcoholic beverages","Base Dec 2016=100","105.9"
"Consumer Price Index (Base Dec 2016=100)","2012M03","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2012M03","Food and non-alcoholic beverages","Base Dec 2016=100","105.8"
"Consumer Price Index (Base Dec 2016=100)","2012M04","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2012M04","Food and non-alcoholic beverages","Base Dec 2016=100","106.4"
"Consumer Price Index (Base Dec 2016=100)","2012M05","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2012M05","Food and non-alcoholic beverages","Base Dec 2016=100","106.4"
"Consumer Price Index (Base Dec 2016=100)","2012M06","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2012M06","Food and non-alcoholic beverages","Base Dec 2016=100","106.3"
"Consumer Price Index (Base Dec 2016=100)","2012M07","All items","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2012M07","Food and non-alcoholic beverages","Base Dec 2016=100","106.4"
"Consumer Price Index (Base Dec 2016=100)","2012M08","All items","Base Dec 2016=100","100.5"
"Consumer Price Index (Base Dec 2016=100)","2012M08","Food and non-alcoholic beverages","Base Dec 2016=100","106.7"
"Consumer Price Index (Base Dec 2016=100)","2012M09","All items","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2012M09","Food and non-alcoholic beverages","Base Dec 2016=100","106.9"
"Consumer Price Index (Base Dec 2016=100)","2012M10","All items","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2012M10","Food and non-alcoholic beverages","Base Dec 2016=100","107.2"
"Consumer Price Index (Base Dec 2016=100)","2012M11","All items","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2012M11","Food and non-alcoholic beverages","Base Dec 2016=100","107.2"
"Consumer Price Index (Base Dec 2016=100)","2012M12","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2012M12","Food and non-alcoholic beverages","Base Dec 2016=100","107.9"
"Consumer Price Index (Base Dec 2016=100)","2013M01","All items","Base Dec 2016=100","99.5"
"Consumer Price Index (Base Dec 2016=100)","2013M01","Food and non-alcoholic beverages","Base Dec 2016=100","108.2"
"Consumer Price Index (Base Dec 2016=100)","2013M02","All items","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2013M02","Food and non-alcoholic beverages","Base Dec 2016=100","108"
"Consumer Price Index (Base Dec 2016=100)","2013M03","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2013M03","Food and non-alcoholic beverages","Base Dec 2016=100","107.5"
"Consumer Price Index (Base Dec 2016=100)","2013M04","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2013M04","Food and non-alcoholic beverages","Base Dec 2016=100","108"
"Consumer Price Index (Base Dec 2016=100)","2013M05","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2013M05","Food and non-alcoholic beverages","Base Dec 2016=100","108"
"Consumer Price Index (Base Dec 2016=100)","2013M06","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2013M06","Food and non-alcoholic beverages","Base Dec 2016=100","108.1"
"Consumer Price Index (Base Dec 2016=100)","2013M07","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2013M07","Food and non-alcoholic beverages","Base Dec 2016=100","108.6"
"Consumer Price Index (Base Dec 2016=100)","2013M08","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2013M08","Food and non-alcoholic beverages","Base Dec 2016=100","107.9"
"Consumer Price Index (Base Dec 2016=100)","2013M09","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2013M09","Food and non-alcoholic beverages","Base Dec 2016=100","107.1"
"Consumer Price Index (Base Dec 2016=100)","2013M10","All items","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2013M10","Food and non-alcoholic beverages","Base Dec 2016=100","107.3"
"Consumer Price Index (Base Dec 2016=100)","2013M11","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2013M11","Food and non-alcoholic beverages","Base Dec 2016=100","106.9"
"Consumer Price Index (Base Dec 2016=100)","2013M12","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2013M12","Food and non-alcoholic beverages","Base Dec 2016=100","106.7"
"Consumer Price Index (Base Dec 2016=100)","2014M01","All items","Base Dec 2016=100","99.7"
"Consumer Price Index (Base Dec 2016=100)","2014M01","Food and non-alcoholic beverages","Base Dec 2016=100","106.4"
"Consumer Price Index (Base Dec 2016=100)","2014M02","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2014M02","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2014M03","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2014M03","Food and non-alcoholic beverages","Base Dec 2016=100","105.9"
"Consumer Price Index (Base Dec 2016=100)","2014M04","All items","Base Dec 2016=100","101"
"Consumer Price Index (Base Dec 2016=100)","2014M04","Food and non-alcoholic beverages","Base Dec 2016=100","105.8"
"Consumer Price Index (Base Dec 2016=100)","2014M05","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2014M05","Food and non-alcoholic beverages","Base Dec 2016=100","106"
"Consumer Price Index (Base Dec 2016=100)","2014M06","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2014M06","Food and non-alcoholic beverages","Base Dec 2016=100","105.6"
"Consumer Price Index (Base Dec 2016=100)","2014M07","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2014M07","Food and non-alcoholic beverages","Base Dec 2016=100","105.2"
"Consumer Price Index (Base Dec 2016=100)","2014M08","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2014M08","Food and non-alcoholic beverages","Base Dec 2016=100","105.1"
"Consumer Price Index (Base Dec 2016=100)","2014M09","All items","Base Dec 2016=100","100.8"
"Consumer Price Index (Base Dec 2016=100)","2014M09","Food and non-alcoholic beverages","Base Dec 2016=100","104.7"
"Consumer Price Index (Base Dec 2016=100)","2014M10","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2014M10","Food and non-alcoholic beverages","Base Dec 2016=100","104.4"
"Consumer Price Index (Base Dec 2016=100)","2014M11","All items","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2014M11","Food and non-alcoholic beverages","Base Dec 2016=100","104.1"
"Consumer Price Index (Base Dec 2016=100)","2014M12","All items","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2014M12","Food and non-alcoholic beverages","Base Dec 2016=100","103.9"
"Consumer Price Index (Base Dec 2016=100)","2015M01","All items","Base Dec 2016=100","99.1"
"Consumer Price Index (Base Dec 2016=100)","2015M01","Food and non-alcoholic beverages","Base Dec 2016=100","103.9"
"Consumer Price Index (Base Dec 2016=100)","2015M02","All items","Base Dec 2016=100","99.7"
"Consumer Price Index (Base Dec 2016=100)","2015M02","Food and non-alcoholic beverages","Base Dec 2016=100","103.1"
"Consumer Price Index (Base Dec 2016=100)","2015M03","All items","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2015M03","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2015M04","All items","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2015M04","Food and non-alcoholic beverages","Base Dec 2016=100","103.2"
"Consumer Price Index (Base Dec 2016=100)","2015M05","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2015M05","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2015M06","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2015M06","Food and non-alcoholic beverages","Base Dec 2016=100","103.2"
"Consumer Price Index (Base Dec 2016=100)","2015M07","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2015M07","Food and non-alcoholic beverages","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2015M08","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2015M08","Food and non-alcoholic beverages","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2015M09","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2015M09","Food and non-alcoholic beverages","Base Dec 2016=100","102.4"
"Consumer Price Index (Base Dec 2016=100)","2015M10","All items","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2015M10","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2015M11","All items","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2015M11","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2015M12","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2015M12","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2016M01","All items","Base Dec 2016=100","99.2"
"Consumer Price Index (Base Dec 2016=100)","2016M01","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2016M02","All items","Base Dec 2016=100","99.6"
"Consumer Price Index (Base Dec 2016=100)","2016M02","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2016M03","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2016M03","Food and non-alcoholic beverages","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2016M04","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2016M04","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2016M05","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2016M05","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2016M06","All items","Base Dec 2016=100","101.4"
"Consumer Price Index (Base Dec 2016=100)","2016M06","Food and non-alcoholic beverages","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2016M07","All items","Base Dec 2016=100","101.2"
"Consumer Price Index (Base Dec 2016=100)","2016M07","Food and non-alcoholic beverages","Base Dec 2016=100","101.6"
"Consumer Price Index (Base Dec 2016=100)","2016M08","All items","Base Dec 2016=100","101"
"Consumer Price Index (Base Dec 2016=100)","2016M08","Food and non-alcoholic beverages","Base Dec 2016=100","101.7"
"Consumer Price Index (Base Dec 2016=100)","2016M09","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2016M09","Food and non-alcoholic beverages","Base Dec 2016=100","101.2"
"Consumer Price Index (Base Dec 2016=100)","2016M10","All items","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2016M10","Food and non-alcoholic beverages","Base Dec 2016=100","100.8"
"Consumer Price Index (Base Dec 2016=100)","2016M11","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2016M11","Food and non-alcoholic beverages","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2016M12","All items","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2016M12","Food and non-alcoholic beverages","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2017M01","All items","Base Dec 2016=100","99.5"
"Consumer Price Index (Base Dec 2016=100)","2017M01","Food and non-alcoholic beverages","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2017M02","All items","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2017M02","Food and non-alcoholic beverages","Base Dec 2016=100","99.5"
"Consumer Price Index (Base Dec 2016=100)","2017M03","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2017M03","Food and non-alcoholic beverages","Base Dec 2016=100","99.8"
"Consumer Price Index (Base Dec 2016=100)","2017M04","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2017M04","Food and non-alcoholic beverages","Base Dec 2016=100","99.4"
"Consumer Price Index (Base Dec 2016=100)","2017M05","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2017M05","Food and non-alcoholic beverages","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2017M06","All items","Base Dec 2016=100","101"
"Consumer Price Index (Base Dec 2016=100)","2017M06","Food and non-alcoholic beverages","Base Dec 2016=100","99.3"
"Consumer Price Index (Base Dec 2016=100)","2017M07","All items","Base Dec 2016=100","101"
"Consumer Price Index (Base Dec 2016=100)","2017M07","Food and non-alcoholic beverages","Base Dec 2016=100","99.6"
"Consumer Price Index (Base Dec 2016=100)","2017M08","All items","Base Dec 2016=100","101.4"
"Consumer Price Index (Base Dec 2016=100)","2017M08","Food and non-alcoholic beverages","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2017M09","All items","Base Dec 2016=100","100.8"
"Consumer Price Index (Base Dec 2016=100)","2017M09","Food and non-alcoholic beverages","Base Dec 2016=100","99.2"
"Consumer Price Index (Base Dec 2016=100)","2017M10","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2017M10","Food and non-alcoholic beverages","Base Dec 2016=100","99.6"
"Consumer Price Index (Base Dec 2016=100)","2017M11","All items","Base Dec 2016=100","100.5"
"Consumer Price Index (Base Dec 2016=100)","2017M11","Food and non-alcoholic beverages","Base Dec 2016=100","99.2"
"Consumer Price Index (Base Dec 2016=100)","2017M12","All items","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2017M12","Food and non-alcoholic beverages","Base Dec 2016=100","98.5"
"Consumer Price Index (Base Dec 2016=100)","2018M01","All items","Base Dec 2016=100","99.7"
"Consumer Price Index (Base Dec 2016=100)","2018M01","Food and non-alcoholic beverages","Base Dec 2016=100","98.7"
"Consumer Price Index (Base Dec 2016=100)","2018M02","All items","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2018M02","Food and non-alcoholic beverages","Base Dec 2016=100","97.7"
"Consumer Price Index (Base Dec 2016=100)","2018M03","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2018M03","Food and non-alcoholic beverages","Base Dec 2016=100","98"
"Consumer Price Index (Base Dec 2016=100)","2018M04","All items","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2018M04","Food and non-alcoholic beverages","Base Dec 2016=100","97.4"
"Consumer Price Index (Base Dec 2016=100)","2018M05","All items","Base Dec 2016=100","101.3"
"Consumer Price Index (Base Dec 2016=100)","2018M05","Food and non-alcoholic beverages","Base Dec 2016=100","97.7"
"Consumer Price Index (Base Dec 2016=100)","2018M06","All items","Base Dec 2016=100","101.4"
"Consumer Price Index (Base Dec 2016=100)","2018M06","Food and non-alcoholic beverages","Base Dec 2016=100","97.2"
"Consumer Price Index (Base Dec 2016=100)","2018M07","All items","Base Dec 2016=100","101.8"
"Consumer Price Index (Base Dec 2016=100)","2018M07","Food and non-alcoholic beverages","Base Dec 2016=100","97.5"
"Consumer Price Index (Base Dec 2016=100)","2018M08","All items","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2018M08","Food and non-alcoholic beverages","Base Dec 2016=100","97.4"
"Consumer Price Index (Base Dec 2016=100)","2018M09","All items","Base Dec 2016=100","101.7"
"Consumer Price Index (Base Dec 2016=100)","2018M09","Food and non-alcoholic beverages","Base Dec 2016=100","97"
"Consumer Price Index (Base Dec 2016=100)","2018M10","All items","Base Dec 2016=100","101.6"
"Consumer Price Index (Base Dec 2016=100)","2018M10","Food and non-alcoholic beverages","Base Dec 2016=100","97.4"
"Consumer Price Index (Base Dec 2016=100)","2018M11","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2018M11","Food and non-alcoholic beverages","Base Dec 2016=100","97.2"
"Consumer Price Index (Base Dec 2016=100)","2018M12","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2018M12","Food and non-alcoholic beverages","Base Dec 2016=100","97.1"
"Consumer Price Index (Base Dec 2016=100)","2019M01","All items","Base Dec 2016=100","100.4"
"Consumer Price Index (Base Dec 2016=100)","2019M01","Food and non-alcoholic beverages","Base Dec 2016=100","97.2"
"Consumer Price Index (Base Dec 2016=100)","2019M02","All items","Base Dec 2016=100","101.2"
"Consumer Price Index (Base Dec 2016=100)","2019M02","Food and non-alcoholic beverages","Base Dec 2016=100","97"
"Consumer Price Index (Base Dec 2016=100)","2019M03","All items","Base Dec 2016=100","102"
"Consumer Price Index (Base Dec 2016=100)","2019M03","Food and non-alcoholic beverages","Base Dec 2016=100","97.4"
"Consumer Price Index (Base Dec 2016=100)","2019M04","All items","Base Dec 2016=100","102.4"
"Consumer Price Index (Base Dec 2016=100)","2019M04","Food and non-alcoholic beverages","Base Dec 2016=100","97.3"
"Consumer Price Index (Base Dec 2016=100)","2019M05","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2019M05","Food and non-alcoholic beverages","Base Dec 2016=100","97.5"
"Consumer Price Index (Base Dec 2016=100)","2019M06","All items","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2019M06","Food and non-alcoholic beverages","Base Dec 2016=100","97.1"
"Consumer Price Index (Base Dec 2016=100)","2019M07","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2019M07","Food and non-alcoholic beverages","Base Dec 2016=100","97"
"Consumer Price Index (Base Dec 2016=100)","2019M08","All items","Base Dec 2016=100","102.8"
"Consumer Price Index (Base Dec 2016=100)","2019M08","Food and non-alcoholic beverages","Base Dec 2016=100","97.1"
"Consumer Price Index (Base Dec 2016=100)","2019M09","All items","Base Dec 2016=100","102.6"
"Consumer Price Index (Base Dec 2016=100)","2019M09","Food and non-alcoholic beverages","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2019M10","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2019M10","Food and non-alcoholic beverages","Base Dec 2016=100","96.3"
"Consumer Price Index (Base Dec 2016=100)","2019M11","All items","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2019M11","Food and non-alcoholic beverages","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2019M12","All items","Base Dec 2016=100","102.4"
"Consumer Price Index (Base Dec 2016=100)","2019M12","Food and non-alcoholic beverages","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2020M01","All items","Base Dec 2016=100","101.7"
"Consumer Price Index (Base Dec 2016=100)","2020M01","Food and non-alcoholic beverages","Base Dec 2016=100","96.1"
"Consumer Price Index (Base Dec 2016=100)","2020M02","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2020M02","Food and non-alcoholic beverages","Base Dec 2016=100","96"
"Consumer Price Index (Base Dec 2016=100)","2020M03","All items","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2020M03","Food and non-alcoholic beverages","Base Dec 2016=100","95.8"
"Consumer Price Index (Base Dec 2016=100)","2020M04","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2020M04","Food and non-alcoholic beverages","Base Dec 2016=100","96.1"
"Consumer Price Index (Base Dec 2016=100)","2020M05","All items","Base Dec 2016=100","101.8"
"Consumer Price Index (Base Dec 2016=100)","2020M05","Food and non-alcoholic beverages","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2020M06","All items","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2020M06","Food and non-alcoholic beverages","Base Dec 2016=100","95.6"
"Consumer Price Index (Base Dec 2016=100)","2020M07","All items","Base Dec 2016=100","101.9"
"Consumer Price Index (Base Dec 2016=100)","2020M07","Food and non-alcoholic beverages","Base Dec 2016=100","95.8"
"Consumer Price Index (Base Dec 2016=100)","2020M08","All items","Base Dec 2016=100","101.8"
"Consumer Price Index (Base Dec 2016=100)","2020M08","Food and non-alcoholic beverages","Base Dec 2016=100","95.4"
"Consumer Price Index (Base Dec 2016=100)","2020M09","All items","Base Dec 2016=100","101.4"
"Consumer Price Index (Base Dec 2016=100)","2020M09","Food and non-alcoholic beverages","Base Dec 2016=100","94.8"
"Consumer Price Index (Base Dec 2016=100)","2020M10","All items","Base Dec 2016=100","100.8"
"Consumer Price Index (Base Dec 2016=100)","2020M10","Food and non-alcoholic beverages","Base Dec 2016=100","94.8"
"Consumer Price Index (Base Dec 2016=100)","2020M11","All items","Base Dec 2016=100","101.1"
"Consumer Price Index (Base Dec 2016=100)","2020M11","Food and non-alcoholic beverages","Base Dec 2016=100","94.8"
"Consumer Price Index (Base Dec 2016=100)","2020M12","All items","Base Dec 2016=100","101.4"
"Consumer Price Index (Base Dec 2016=100)","2020M12","Food and non-alcoholic beverages","Base Dec 2016=100","94.7"
"Consumer Price Index (Base Dec 2016=100)","2021M01","All items","Base Dec 2016=100","101.5"
"Consumer Price Index (Base Dec 2016=100)","2021M01","Food and non-alcoholic beverages","Base Dec 2016=100","94.1"
"Consumer Price Index (Base Dec 2016=100)","2021M02","All items","Base Dec 2016=100","101.9"
"Consumer Price Index (Base Dec 2016=100)","2021M02","Food and non-alcoholic beverages","Base Dec 2016=100","94.2"
"Consumer Price Index (Base Dec 2016=100)","2021M03","All items","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2021M03","Food and non-alcoholic beverages","Base Dec 2016=100","95"
"Consumer Price Index (Base Dec 2016=100)","2021M04","All items","Base Dec 2016=100","103.4"
"Consumer Price Index (Base Dec 2016=100)","2021M04","Food and non-alcoholic beverages","Base Dec 2016=100","95.4"
"Consumer Price Index (Base Dec 2016=100)","2021M05","All items","Base Dec 2016=100","103.5"
"Consumer Price Index (Base Dec 2016=100)","2021M05","Food and non-alcoholic beverages","Base Dec 2016=100","95.2"
"Consumer Price Index (Base Dec 2016=100)","2021M06","All items","Base Dec 2016=100","103.7"
"Consumer Price Index (Base Dec 2016=100)","2021M06","Food and non-alcoholic beverages","Base Dec 2016=100","95.3"
"Consumer Price Index (Base Dec 2016=100)","2021M07","All items","Base Dec 2016=100","104.1"
"Consumer Price Index (Base Dec 2016=100)","2021M07","Food and non-alcoholic beverages","Base Dec 2016=100","95.8"
"Consumer Price Index (Base Dec 2016=100)","2021M08","All items","Base Dec 2016=100","104.7"
"Consumer Price Index (Base Dec 2016=100)","2021M08","Food and non-alcoholic beverages","Base Dec 2016=100","95.5"
"Consumer Price Index (Base Dec 2016=100)","2021M09","All items","Base Dec 2016=100","105.2"
"Consumer Price Index (Base Dec 2016=100)","2021M09","Food and non-alcoholic beverages","Base Dec 2016=100","95.2"
"Consumer Price Index (Base Dec 2016=100)","2021M10","All items","Base Dec 2016=100","105.9"
"Consumer Price Index (Base Dec 2016=100)","2021M10","Food and non-alcoholic beverages","Base Dec 2016=100","95.6"
"Consumer Price Index (Base Dec 2016=100)","2021M11","All items","Base Dec 2016=100","106.5"
"Consumer Price Index (Base Dec 2016=100)","2021M11","Food and non-alcoholic beverages","Base Dec 2016=100","95.7"
"Consumer Price Index (Base Dec 2016=100)","2021M12","All items","Base Dec 2016=100","107"
"Consumer Price Index (Base Dec 2016=100)","2021M12","Food and non-alcoholic beverages","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2022M01","All items","Base Dec 2016=100","106.6"
"Consumer Price Index (Base Dec 2016=100)","2022M01","Food and non-alcoholic beverages","Base Dec 2016=100","96.1"
"Consumer Price Index (Base Dec 2016=100)","2022M02","All items","Base Dec 2016=100","107.6"
"Consumer Price Index (Base Dec 2016=100)","2022M02","Food and non-alcoholic beverages","Base Dec 2016=100","97"
"Consumer Price Index (Base Dec 2016=100)","2022M03","All items","Base Dec 2016=100","109.6"
