"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1988M04","Shannon airport","Number","11.2"
"Most Sunshine Hours in a Day","1988M05","Shannon airport","Number","13.5"
"Most Sunshine Hours in a Day","1988M06","Shannon airport","Number","15.8"
"Most Sunshine Hours in a Day","1988M07","Shannon airport","Number","9"
"Most Sunshine Hours in a Day","1988M08","Shannon airport","Number","13.7"
"Most Sunshine Hours in a Day","1988M09","Shannon airport","Number","8.7"
"Most Sunshine Hours in a Day","1988M10","Shannon airport","Number","8.7"
"Most Sunshine Hours in a Day","1988M11","Shannon airport","Number","7.9"
"Most Sunshine Hours in a Day","1988M12","Shannon airport","Number","6.2"
"Most Sunshine Hours in a Day","1989M01","Shannon airport","Number","7.1"
"Most Sunshine Hours in a Day","1989M02","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1989M03","Shannon airport","Number","10.6"
"Most Sunshine Hours in a Day","1989M04","Shannon airport","Number","12.2"
"Most Sunshine Hours in a Day","1989M05","Shannon airport","Number","14.7"
"Most Sunshine Hours in a Day","1989M06","Shannon airport","Number","15.6"
"Most Sunshine Hours in a Day","1989M07","Shannon airport","Number","15.7"
"Most Sunshine Hours in a Day","1989M08","Shannon airport","Number","11.2"
"Most Sunshine Hours in a Day","1989M09","Shannon airport","Number","10.7"
"Most Sunshine Hours in a Day","1989M10","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1989M11","Shannon airport","Number","7.2"
"Most Sunshine Hours in a Day","1989M12","Shannon airport","Number","5.8"
"Most Sunshine Hours in a Day","1990M01","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1990M02","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1990M03","Shannon airport","Number","9.5"
