"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Calves","Base 2015=100","76.03"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Pigs","Base 2015=100","109.53"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Sheep","Base 2015=100","108.34"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Poultry","Base 2015=100","100.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Animal products","Base 2015=100","135.91"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Milk","Base 2015=100","137.12"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Eggs","Base 2015=100","103.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Wool","Base 2015=100","77.03"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Agricultural input price index","Base 2015=100","104.23"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Seeds","Base 2015=100","102.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Energy","Base 2015=100","113.38"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Electricity","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Motor fuel","Base 2015=100","118.38"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Lubricants","Base 2015=100","98.8"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Fertilisers","Base 2015=100","99.8"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Straight fertilisers","Base 2015=100","100.21"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound fertilisers","Base 2015=100","99.91"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","PK fertilisers","Base 2015=100","101.57"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","NPK fertilisers","Base 2015=100","99.86"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Other fertilisers","Base 2015=100","94.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Plant protection products","Base 2015=100","99.95"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Feeding stuffs","Base 2015=100","109.27"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Straight feeding stuffs","Base 2015=100","111.42"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound feeding stuffs","Base 2015=100","109.16"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound feeding stuffs for calves","Base 2015=100","106.58"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound feeding stuffs for cattle excluding calves","Base 2015=100","106.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound feeding stuffs for pigs","Base 2015=100","109.98"
