Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wellington Aero,3445,E14387,-41.322,174.804,4,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Wellington Aero,Jun-2010,02,10.3,-,
Wellington Aero,Jul-2010,00,92.4,-,
Wellington Aero,Jul-2010,02,8.4,-,
Wellington Aero,Aug-2010,00,165.8,-,
Wellington Aero,Aug-2010,02,10.8,-,
Wellington Aero,Sep-2010,00,151.6,-,
Wellington Aero,Sep-2010,02,12.4,-,
Wellington Aero,Oct-2010,00,71.8,-,
Wellington Aero,Oct-2010,02,12.1,-,
Wellington Aero,Nov-2010,00,21.4,-,
Wellington Aero,Nov-2010,02,15.0,-,
Wellington Aero,Dec-2010,00,91.0,-,
Wellington Aero,Dec-2010,02,17.3,-,
Wellington Aero,Jan-2011,00,65.6,-,
Wellington Aero,Jan-2011,02,17.7,-,
Wellington Aero,Feb-2011,00,18.2,-,
Wellington Aero,Feb-2011,02,18.5,-,
Wellington Aero,Mar-2011,00,77.0,-,
Wellington Aero,Mar-2011,02,16.5,-,
Wellington Aero,Apr-2011,00,118.6,-,
Wellington Aero,Apr-2011,02,14.0,-,
Wellington Aero,May-2011,00,106.4,-,
Wellington Aero,May-2011,02,14.2,-,
Wellington Aero,Jun-2011,00,86.8,-,
Wellington Aero,Jun-2011,02,11.2,-,
Wellington Aero,Jul-2011,00,71.8,-,
Wellington Aero,Jul-2011,02,9.8,-,
Wellington Aero,Aug-2011,00,104.4,-,
Wellington Aero,Aug-2011,02,9.6,-,
Wellington Aero,Sep-2011,00,55.6,-,
Wellington Aero,Sep-2011,02,10.9,-,
Wellington Aero,Oct-2011,00,97.8,-,
Wellington Aero,Oct-2011,02,13.0,-,
Wellington Aero,Nov-2011,00,57.6,-,
Wellington Aero,Nov-2011,02,14.2,-,
Wellington Aero,Dec-2011,00,121.6,-,
Wellington Aero,Dec-2011,02,15.9,-,
Wellington Aero,Jan-2012,00,81.4,-,
Wellington Aero,Jan-2012,02,16.8,-,
Wellington Aero,Feb-2012,00,44.8,-,
Wellington Aero,Feb-2012,02,16.9,-,
Wellington Aero,Mar-2012,00,111.0,-,
Wellington Aero,Mar-2012,02,15.1,-,
Wellington Aero,Apr-2012,00,43.1,-,
Wellington Aero,Apr-2012,02,14.4,-,
Wellington Aero,May-2012,00,66.6,-,
Wellington Aero,May-2012,02,11.5,-,
Wellington Aero,Jun-2012,00,101.4,-,
Wellington Aero,Jun-2012,02,9.7,-,
Wellington Aero,Jul-2012,00,78.8,-,
Wellington Aero,Jul-2012,02,9.9,-,
Wellington Aero,Aug-2012,00,108.0,-,
Wellington Aero,Aug-2012,02,10.8,-,
Wellington Aero,Sep-2012,00,46.2,-,
Wellington Aero,Sep-2012,02,11.9,-,
Wellington Aero,Oct-2012,00,45.6,-,
Wellington Aero,Oct-2012,02,13.2,-,
Wellington Aero,Nov-2012,00,21.4,-,
Wellington Aero,Nov-2012,02,13.8,-,
Wellington Aero,Dec-2012,00,49.6,-,
