Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,3925,F21182,-42.116,171.860,198,G,Niwa / West Coast Rural Fire Dis
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig,
Reefton Ews,Dec-2006,00,102.6,-,-,D,
Reefton Ews,Dec-2006,02,13.4,-,-,D,
Reefton Ews,Jan-2007,00,115.6,-,-,D,
Reefton Ews,Jan-2007,02,17.1,-,-,D,
Reefton Ews,Feb-2007,00,54.0,-,-,D,
Reefton Ews,Feb-2007,02,18.0,-,-,D,
Reefton Ews,Mar-2007,00,115.6,-,-,D,
Reefton Ews,Mar-2007,02,15.7,-,-,D,
Reefton Ews,Apr-2007,00,87.2,-,-,D,
Reefton Ews,Apr-2007,02,11.9,*,-,D,
Reefton Ews,May-2007,00,133.6,*,-,D,
Reefton Ews,May-2007,02,10.8,-,-,D,
Reefton Ews,Jun-2007,00,285.8,-,-,D,
Reefton Ews,Jun-2007,02,4.3,-,-,D,
Reefton Ews,Jun-2007,09,46.3,-,-,D,
Reefton Ews,Jul-2007,00,104.2,-,-,D,
Reefton Ews,Jul-2007,02,5.0,-,-,D,
Reefton Ews,Jul-2007,09,118.0,-,-,D,
Reefton Ews,Aug-2007,00,156.2,-,-,D,
Reefton Ews,Aug-2007,02,7.7,-,-,D,
Reefton Ews,Aug-2007,09,98.1,-,-,D,
Reefton Ews,Sep-2007,00,146.2,-,-,D,
Reefton Ews,Sep-2007,02,10.1,*,-,D,
Reefton Ews,Sep-2007,09,160.4,-,-,D,
Reefton Ews,Oct-2007,00,379.6,-,-,D,
Reefton Ews,Oct-2007,02,9.9,-,-,D,
Reefton Ews,Oct-2007,09,113.0,-,-,D,
Reefton Ews,Nov-2007,00,25.4,-,-,D,
Reefton Ews,Nov-2007,02,13.0,-,-,D,
Reefton Ews,Nov-2007,09,229.6,-,-,D,
Reefton Ews,Dec-2007,00,83.6,-,-,D,
Reefton Ews,Dec-2007,02,16.7,-,-,D,
Reefton Ews,Dec-2007,09,158.0,-,-,D,
Reefton Ews,Jan-2008,00,98.2,-,-,D,
Reefton Ews,Jan-2008,02,18.5,-,-,D,
Reefton Ews,Jan-2008,09,261.2,-,-,D,
Reefton Ews,Feb-2008,00,118.2,-,-,D,
Reefton Ews,Feb-2008,02,17.3,-,-,D,
Reefton Ews,Feb-2008,09,168.7,-,-,D,
Reefton Ews,Mar-2008,00,115.6,-,-,D,
Reefton Ews,Mar-2008,02,15.8,-,-,D,
Reefton Ews,Mar-2008,09,167.1,-,-,D,
Reefton Ews,Apr-2008,00,134.6,-,-,D,
Reefton Ews,Apr-2008,02,12.1,-,-,D,
Reefton Ews,Apr-2008,09,141.6,-,-,D,
Reefton Ews,May-2008,00,25.8,-,-,D,
Reefton Ews,May-2008,02,6.7,-,-,D,
Reefton Ews,Jun-2008,00,188.8,-,-,D,
Reefton Ews,Jun-2008,02,6.3,-,-,D,
Reefton Ews,Jul-2008,00,257.0,-,-,D,
Reefton Ews,Jul-2008,02,5.4,-,-,D,
Reefton Ews,Jul-2008,09,76.7,-,-,D,
Reefton Ews,Aug-2008,00,200.4,-,-,D,
Reefton Ews,Aug-2008,02,6.6,-,-,D,
Reefton Ews,Aug-2008,09,76.1,-,-,D,
Reefton Ews,Sep-2008,00,173.2,-,-,D,
Reefton Ews,Sep-2008,02,9.5,-,-,D,
Reefton Ews,Sep-2008,09,124.0,-,-,D,
Reefton Ews,Oct-2008,00,141.6,-,-,D,
Reefton Ews,Oct-2008,02,10.2,-,-,D,
Reefton Ews,Oct-2008,09,123.1,-,-,D,
Reefton Ews,Nov-2008,00,268.2,-,-,D,
Reefton Ews,Nov-2008,02,12.9,-,-,D,
Reefton Ews,Nov-2008,09,181.1,-,-,D,
Reefton Ews,Dec-2008,00,180.4,-,-,D,
Reefton Ews,Dec-2008,02,15.9,-,-,D,
Reefton Ews,Dec-2008,09,189.3,-,-,D,
Reefton Ews,Jan-2009,00,74.0,-,-,D,
Reefton Ews,Jan-2009,02,17.2,-,-,D,
Reefton Ews,Jan-2009,09,246.2,-,-,D,
Reefton Ews,Feb-2009,00,92.8,-,-,D,
Reefton Ews,Feb-2009,02,16.9,-,-,D,
Reefton Ews,Feb-2009,09,169.3,-,-,D,
Reefton Ews,Mar-2009,00,80.4,-,-,D,
Reefton Ews,Mar-2009,02,14.4,-,-,D,
Reefton Ews,Mar-2009,09,181.8,-,-,D,
Reefton Ews,Apr-2009,00,231.2,-,-,D,
Reefton Ews,Apr-2009,02,12.5,*,-,D,
Reefton Ews,Apr-2009,09,126.0,-,-,D,
Reefton Ews,May-2009,00,167.8,-,-,D,
Reefton Ews,May-2009,02,6.8,-,-,D,
Reefton Ews,May-2009,09,130.8,-,-,D,
Reefton Ews,Jun-2009,00,95.4,-,-,D,
Reefton Ews,Jun-2009,02,4.0,-,-,D,
Reefton Ews,Jun-2009,09,63.6,-,-,D,
Reefton Ews,Jul-2009,00,209.5,*,-,D,
Reefton Ews,Jul-2009,02,4.9,*,-,D,
Reefton Ews,Jul-2009,09,80.9,*,-,D,
Reefton Ews,Aug-2009,00,191.2,-,-,D,
Reefton Ews,Aug-2009,02,9.0,-,-,D,
Reefton Ews,Aug-2009,09,90.6,-,-,D,
Reefton Ews,Sep-2009,00,87.4,-,-,D,
Reefton Ews,Sep-2009,02,9.5,-,-,D,
Reefton Ews,Sep-2009,09,181.7,-,-,D,
Reefton Ews,Oct-2009,00,136.8,-,-,D,
Reefton Ews,Oct-2009,02,9.8,-,-,D,
Reefton Ews,Oct-2009,09,214.5,-,-,D,
Reefton Ews,Nov-2009,00,68.8,-,-,D,
Reefton Ews,Nov-2009,02,13.3,-,-,D,
Reefton Ews,Nov-2009,09,154.8,-,-,D,
Reefton Ews,Dec-2009,00,225.8,-,-,D,
Reefton Ews,Dec-2009,02,15.5,-,-,D,
Reefton Ews,Dec-2009,09,172.9,-,-,D,
Reefton Ews,Jan-2010,00,160.8,-,-,D,
Reefton Ews,Jan-2010,02,17.6,-,-,D,
Reefton Ews,Jan-2010,09,186.1,-,-,D,
Reefton Ews,Feb-2010,00,81.0,-,-,D,
Reefton Ews,Feb-2010,02,18.7,-,-,D,
Reefton Ews,Feb-2010,09,202.9,-,-,D,
Reefton Ews,Mar-2010,00,105.2,-,-,D,
Reefton Ews,Mar-2010,02,15.2,-,-,D,
Reefton Ews,Mar-2010,09,167.6,-,-,D,
Reefton Ews,Apr-2010,00,117.2,-,-,D,
Reefton Ews,Apr-2010,02,13.2,*,-,D,
Reefton Ews,Apr-2010,09,101.7,-,-,D,
Reefton Ews,May-2010,00,62.2,-,-,D,
Reefton Ews,May-2010,02,9.5,-,-,D,
Reefton Ews,May-2010,09,93.6,-,-,D,
Reefton Ews,Jun-2010,00,195.4,-,-,D,
Reefton Ews,Jun-2010,02,6.5,-,-,D,
Reefton Ews,Jun-2010,09,61.5,-,-,D,
Reefton Ews,Jul-2010,00,105.2,-,-,D,
Reefton Ews,Jul-2010,02,5.5,-,-,D,
Reefton Ews,Jul-2010,09,105.2,-,-,D,
Reefton Ews,Aug-2010,00,264.4,-,-,D,
Reefton Ews,Aug-2010,02,8.4,-,-,D,
Reefton Ews,Aug-2010,09,107.9,-,-,D,
Reefton Ews,Sep-2010,00,352.0,-,-,D,
Reefton Ews,Sep-2010,02,8.6,-,-,D,
Reefton Ews,Sep-2010,09,81.6,-,-,D,
Reefton Ews,Oct-2010,00,103.4,-,-,D,
Reefton Ews,Oct-2010,02,11.6,-,-,D,
Reefton Ews,Oct-2010,09,218.5,-,-,D,
Reefton Ews,Nov-2010,00,17.2,*,-,D,
Reefton Ews,Nov-2010,02,15.5,-,-,D,
Reefton Ews,Nov-2010,09,243.2,*,-,D,
Reefton Ews,Dec-2010,00,243.4,-,-,D,
Reefton Ews,Dec-2010,02,17.5,-,-,D,
Reefton Ews,Dec-2010,09,176.6,-,-,D,
Reefton Ews,Jan-2011,00,137.2,-,-,D,
Reefton Ews,Jan-2011,02,17.9,-,-,D,
Reefton Ews,Jan-2011,09,215.2,-,-,D,
Reefton Ews,Feb-2011,00,64.8,*,-,D,
Reefton Ews,Feb-2011,02,17.8,-,-,D,
Reefton Ews,Feb-2011,09,170.1,-,-,D,
Reefton Ews,Mar-2011,00,137.6,-,-,D,
