Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,042027,2020,09,19.8
IDCJAC0003,042027,2020,10,22.4
IDCJAC0003,042027,2020,11,27.6
IDCJAC0003,042027,2020,12,23.6
IDCJAC0003,042027,2021,01,26.0
IDCJAC0003,042027,2021,02,24.8
IDCJAC0003,042027,2021,03,19.1
IDCJAC0003,042027,2021,04,17.5
IDCJAC0003,042027,2021,05,14.2
IDCJAC0003,042027,2021,06,11.5
IDCJAC0003,042027,2021,07,12.7
IDCJAC0003,042027,2021,08,16.5
IDCJAC0003,042027,2021,09,19.1
IDCJAC0003,042027,2021,10,22.3
IDCJAC0003,042027,2021,11,21.4
IDCJAC0003,042027,2021,12,27.5
IDCJAC0003,042027,2022,01,26.0
IDCJAC0003,042027,2022,02,21.5
IDCJAC0003,042027,2022,03,20.9
IDCJAC0003,042027,2022,04,16.9
IDCJAC0003,042027,2022,05,16.2
