"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1976M09","Rosslare","Number","11.6"
"Most Sunshine Hours in a Day","1976M10","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1976M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1976M12","Rosslare","Number","6.1"
"Most Sunshine Hours in a Day","1977M01","Rosslare","Number","7.2"
"Most Sunshine Hours in a Day","1977M02","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1977M03","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1977M04","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1977M05","Rosslare","Number","14.3"
"Most Sunshine Hours in a Day","1977M06","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1977M07","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1977M08","Rosslare","Number","12.7"
"Most Sunshine Hours in a Day","1977M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1977M10","Rosslare","Number","9.5"
"Most Sunshine Hours in a Day","1977M11","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1977M12","Rosslare","Number","6.4"
"Most Sunshine Hours in a Day","1978M01","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1978M02","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1978M03","Rosslare","Number","10.1"
"Most Sunshine Hours in a Day","1978M04","Rosslare","Number","11.1"
"Most Sunshine Hours in a Day","1978M05","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1978M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1978M07","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1978M08","Rosslare","Number","12.5"
"Most Sunshine Hours in a Day","1978M09","Rosslare","Number","10.2"
"Most Sunshine Hours in a Day","1978M10","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1978M11","Rosslare","Number","7.6"
"Most Sunshine Hours in a Day","1978M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1979M01","Rosslare","Number","8.2"
"Most Sunshine Hours in a Day","1979M02","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1979M03","Rosslare","Number","11.1"
"Most Sunshine Hours in a Day","1979M04","Rosslare","Number","11.3"
"Most Sunshine Hours in a Day","1979M05","Rosslare","Number","13.1"
"Most Sunshine Hours in a Day","1979M06","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1979M07","Rosslare","Number","14.1"
"Most Sunshine Hours in a Day","1979M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1979M09","Rosslare","Number","11.7"
"Most Sunshine Hours in a Day","1979M10","Rosslare","Number","9.4"
"Most Sunshine Hours in a Day","1979M11","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1979M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1980M01","Rosslare","Number","7.6"
"Most Sunshine Hours in a Day","1980M02","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1980M03","Rosslare","Number","10.8"
"Most Sunshine Hours in a Day","1980M04","Rosslare","Number","12.3"
"Most Sunshine Hours in a Day","1980M05","Rosslare","Number","14.6"
"Most Sunshine Hours in a Day","1980M06","Rosslare","Number","10"
"Most Sunshine Hours in a Day","1980M07","Rosslare","Number","12.4"
"Most Sunshine Hours in a Day","1980M08","Rosslare","Number","12.3"
"Most Sunshine Hours in a Day","1980M09","Rosslare","Number","10.1"
"Most Sunshine Hours in a Day","1980M10","Rosslare","Number","9.9"
"Most Sunshine Hours in a Day","1980M11","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1980M12","Rosslare","Number","7.2"
"Most Sunshine Hours in a Day","1981M01","Rosslare","Number","6.3"
"Most Sunshine Hours in a Day","1981M02","Rosslare","Number","6.7"
"Most Sunshine Hours in a Day","1981M03","Rosslare","Number","11.6"
